pokemon,move,move_kind,type,stab_bonus,damage,energy,damage_per_energy,effect,archetype,notes
Delibird (Shadow),Aerial Ace,charged,flying,1.2,55,40,1.38,,General,
Delibird (Shadow),Fly,charged,flying,1.2,80,45,1.78,,General,
Delibird (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Delibird (Shadow),Ice Punch,charged,ice,1.2,60,40,1.5,,Spam/Bait,
Delibird (Shadow),Icy Wind,charged,ice,1.2,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Delibird (Shadow),Triple Axel,charged,ice,1.2,60,45,1.33,100% chance +1 Atk self,Boost,
Delphox,Blast Burn,charged,fire,1.2,110,50,2.2,,General,elite
Delphox,Fire Blast,charged,fire,1.2,140,80,1.75,,Nuke,
Delphox,Flame Charge,charged,fire,1.2,65,50,1.3,100% chance +1 Atk self,Boost,
Delphox,Flamethrower,charged,fire,1.2,90,55,1.64,,High Energy,
Delphox,Mystical Fire,charged,fire,1.2,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Delphox,Psychic,charged,psychic,1.2,75,55,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Deoxys,Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Deoxys,Psycho Boost,charged,psychic,1.2,70,35,2.0,100% chance -2 Atk self,Self-Debuff Spam,
Deoxys,Thunderbolt,charged,electric,1.0,90,55,1.64,,High Energy,
Deoxys (Attack),Dark Pulse,charged,dark,1.0,80,50,1.6,,General,
Deoxys (Attack),Psycho Boost,charged,psychic,1.2,70,35,2.0,100% chance -2 Atk self,Self-Debuff Spam,
Deoxys (Attack),Zap Cannon,charged,electric,1.0,150,80,1.88,33.0% chance -1 Atk opponent,Debuff Nuke,
Deoxys (Defense),Psycho Boost,charged,psychic,1.2,70,35,2.0,100% chance -2 Atk self,Self-Debuff Spam,
Deoxys (Defense),Rock Slide,charged,rock,1.0,65,45,1.44,,General,
Deoxys (Defense),Thunderbolt,charged,electric,1.0,90,55,1.64,,High Energy,
Deoxys (Speed),Psycho Boost,charged,psychic,1.2,70,35,2.0,100% chance -2 Atk self,Self-Debuff Spam,
Deoxys (Speed),Swift,charged,normal,1.0,55,35,1.57,,Spam/Bait,
Deoxys (Speed),Thunderbolt,charged,electric,1.0,90,55,1.64,,High Energy,
Dewgong,Aqua Jet,charged,water,1.2,45,45,1.0,,General,elite
Dewgong,Aurora Beam,charged,ice,1.2,80,60,1.33,,High Energy,
Dewgong,Blizzard,charged,ice,1.2,140,75,1.87,,Nuke,
Dewgong,Drill Run,charged,ground,1.0,80,45,1.78,,General,
Dewgong,Icy Wind,charged,ice,1.2,60,45,1.33,100% chance -1 Atk opponent,Debuff,elite
Dewgong,Liquidation,charged,water,1.2,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Dewgong,Water Pulse,charged,water,1.2,80,55,1.45,,General,
Dewott,Aqua Tail,charged,water,1.2,55,35,1.57,,Spam/Bait,
Dewott,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Dewott,Water Pulse,charged,water,1.2,80,55,1.45,,General,
Dewott,X-Scissor,charged,bug,1.0,65,40,1.62,,Spam/Bait,
Dewott (Shadow),Aqua Tail,charged,water,1.2,55,35,1.57,,Spam/Bait,
Dewott (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Dewott (Shadow),Water Pulse,charged,water,1.2,80,55,1.45,,General,
Dewott (Shadow),X-Scissor,charged,bug,1.0,65,40,1.62,,Spam/Bait,
Dewpider,Bubble Beam,charged,water,1.2,25,40,0.62,100% chance -1 Atk opponent,Debuff Spam/Bait,
Dewpider,Mirror Coat,charged,psychic,1.0,60,55,1.09,,High Energy,
Dewpider,Water Pulse,charged,water,1.2,80,55,1.45,,General,
Dhelmise,Heavy Slam,charged,steel,1.0,70,50,1.4,,General,
Dhelmise,Power Whip,charged,grass,1.2,90,50,1.8,,General,
Dhelmise,Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Dialga,Draco Meteor,charged,dragon,1.2,150,65,2.31,100% chance -2 Atk self,Self-Debuff Nuke,
Dialga,Iron Head,charged,steel,1.2,70,50,1.4,,General,
Dialga,Thunder,charged,electric,1.0,100,60,1.67,,High Energy,
Dialga (Origin),Draco Meteor,charged,dragon,1.2,150,65,2.31,100% chance -2 Atk self,Self-Debuff Nuke,
Dialga (Origin),Iron Head,charged,steel,1.2,70,50,1.4,,General,
Dialga (Origin),Roar of Time,charged,dragon,1.2,150,65,2.31,,Nuke,legacy
Dialga (Origin),Thunder,charged,electric,1.0,100,60,1.67,,High Energy,
Diancie,Moonblast,charged,fairy,1.2,110,60,1.83,10.0% chance -1 Atk opponent,Debuff Nuke,
Diancie,Power Gem,charged,rock,1.2,85,50,1.7,,General,
Diancie,Rock Slide,charged,rock,1.2,65,45,1.44,,General,
Diancie (Mega),Moonblast,charged,fairy,1.2,110,60,1.83,10.0% chance -1 Atk opponent,Debuff Nuke,
Diancie (Mega),Power Gem,charged,rock,1.2,85,50,1.7,,General,
Diancie (Mega),Rock Slide,charged,rock,1.2,65,45,1.44,,General,
Diggersby,Dig,charged,ground,1.2,70,50,1.4,,High Energy,
Diggersby,Earthquake,charged,ground,1.2,110,65,1.69,,Nuke,
Diggersby,Fire Punch,charged,fire,1.0,60,40,1.5,,Spam/Bait,
Diggersby,Hyper Beam,charged,normal,1.2,150,80,1.88,,Nuke,
Diggersby,Return,charged,normal,1.2,130,70,1.86,,Nuke,
Diggersby,Scorching Sands,charged,ground,1.2,80,50,1.6,30.0% chance -1 Atk opponent,High Energy Debuff,
Diggersby (Shadow),Dig,charged,ground,1.2,70,50,1.4,,High Energy,
Diggersby (Shadow),Earthquake,charged,ground,1.2,110,65,1.69,,Nuke,
Diggersby (Shadow),Fire Punch,charged,fire,1.0,60,40,1.5,,Spam/Bait,
Diggersby (Shadow),Frustration,charged,normal,1.2,10,70,0.14,,High Energy,
Diggersby (Shadow),Hyper Beam,charged,normal,1.2,150,80,1.88,,Nuke,
Diggersby (Shadow),Scorching Sands,charged,ground,1.2,80,50,1.6,30.0% chance -1 Atk opponent,High Energy Debuff,
Diglett,Dig,charged,ground,1.2,70,50,1.4,,High Energy,
Diglett,Mud Bomb,charged,ground,1.2,60,40,1.5,,Spam/Bait,
Diglett,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Diglett,Rock Tomb,charged,rock,1.0,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Diglett (Alolan),Dig,charged,ground,1.2,70,50,1.4,,High Energy,
Diglett (Alolan),Mud Bomb,charged,ground,1.2,60,40,1.5,,Spam/Bait,
Diglett (Alolan),Return,charged,normal,1.0,130,70,1.86,,Nuke,
Diglett (Alolan),Rock Tomb,charged,rock,1.0,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Diglett (Alolan) (Shadow),Dig,charged,ground,1.2,70,50,1.4,,High Energy,
Diglett (Alolan) (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Diglett (Alolan) (Shadow),Mud Bomb,charged,ground,1.2,60,40,1.5,,Spam/Bait,
Diglett (Alolan) (Shadow),Rock Tomb,charged,rock,1.0,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Diglett (Shadow),Dig,charged,ground,1.2,70,50,1.4,,High Energy,
Diglett (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Diglett (Shadow),Mud Bomb,charged,ground,1.2,60,40,1.5,,Spam/Bait,
Diglett (Shadow),Rock Tomb,charged,rock,1.0,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Ditto,Struggle,charged,normal,1.2,35,100,0.35,,High Energy,
Dodrio,Aerial Ace,charged,flying,1.2,55,40,1.38,,General,
Dodrio,Air Cutter,charged,flying,1.2,60,55,1.09,,High Energy,elite
Dodrio,Brave Bird,charged,flying,1.2,130,55,2.36,100% chance -3 Def self,Self-Debuff Nuke,
Dodrio,Drill Peck,charged,flying,1.2,65,40,1.62,,Spam/Bait,
Doduo,Aerial Ace,charged,flying,1.2,55,40,1.38,,General,
Doduo,Brave Bird,charged,flying,1.2,130,55,2.36,100% chance -3 Def self,Self-Debuff Nuke,
Doduo,Drill Peck,charged,flying,1.2,65,40,1.62,,Spam/Bait,
Doduo,Swift,charged,normal,1.2,55,35,1.57,,Spam/Bait,elite
Dolliv,Earth Power,charged,ground,1.0,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Dolliv,Energy Ball,charged,grass,1.2,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Dolliv,Seed Bomb,charged,grass,1.2,65,45,1.44,,General,
Dolliv,Trailblaze,charged,grass,1.2,65,45,1.44,100% chance +1 Atk self,Boost,
Dondozo,Hydro Pump,charged,water,1.2,130,75,1.73,,Nuke,
Dondozo,Liquidation,charged,water,1.2,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Dondozo,Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Dondozo,Surf,charged,water,1.2,75,45,1.67,,General,
Donphan,Body Slam,charged,normal,1.0,50,35,1.43,,Spam/Bait,
Donphan,Earthquake,charged,ground,1.2,110,65,1.69,,Nuke,
Donphan,Heavy Slam,charged,steel,1.0,70,50,1.4,,General,
Donphan,Play Rough,charged,fairy,1.0,90,60,1.5,,High Energy,
Donphan,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Donphan,Trailblaze,charged,grass,1.0,65,45,1.44,100% chance +1 Atk self,Boost,
Donphan (Shadow),Body Slam,charged,normal,1.0,50,35,1.43,,Spam/Bait,
Donphan (Shadow),Earthquake,charged,ground,1.2,110,65,1.69,,Nuke,
Donphan (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Donphan (Shadow),Heavy Slam,charged,steel,1.0,70,50,1.4,,General,
Donphan (Shadow),Play Rough,charged,fairy,1.0,90,60,1.5,,High Energy,
Donphan (Shadow),Trailblaze,charged,grass,1.0,65,45,1.44,100% chance +1 Atk self,Boost,
Dottler,Bug Buzz,charged,bug,1.2,100,60,1.67,30.0% chance -1 Def opponent,High Energy Debuff,
Dottler,Psychic,charged,psychic,1.2,75,55,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Doublade,Gyro Ball,charged,steel,1.2,80,60,1.33,,High Energy,
Doublade,Iron Head,charged,steel,1.2,70,50,1.4,,General,
Dracovish,Ancient Power,charged,rock,1.0,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Dracovish,Brine,charged,water,1.2,60,50,1.2,,General,
Dracovish,Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,
Dracozolt,Ancient Power,charged,rock,1.0,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Dracozolt,Discharge,charged,electric,1.2,65,45,1.44,,General,
Dracozolt,Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,
Dragalge,Aqua Tail,charged,water,1.0,55,35,1.57,,Spam/Bait,
Dragalge,Focus Blast,charged,fighting,1.0,150,75,2.0,,Nuke,
Dragalge,Gunk Shot,charged,poison,1.2,130,75,1.73,,Nuke,
Dragalge,Hydro Pump,charged,water,1.0,130,75,1.73,,Nuke,
Dragalge,Outrage,charged,dragon,1.2,110,60,1.83,,Nuke,
Dragapult,Breaking Swipe,charged,dragon,1.2,50,35,1.43,50.0% chance -1 Atk opponent,Debuff Spam/Bait,
Dragapult,Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,
Dragapult,Outrage,charged,dragon,1.2,110,60,1.83,,Nuke,
Dragapult,Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Dragonair,Aqua Tail,charged,water,1.0,55,35,1.57,,Spam/Bait,
Dragonair,Body Slam,charged,normal,1.0,50,35,1.43,,Spam/Bait,
Dragonair,Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,
Dragonair,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Dragonair,Wrap,charged,normal,1.0,60,45,1.33,,General,
Dragonair (Shadow),Aqua Tail,charged,water,1.0,55,35,1.57,,Spam/Bait,
Dragonair (Shadow),Body Slam,charged,normal,1.0,50,35,1.43,,Spam/Bait,
Dragonair (Shadow),Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,
Dragonair (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Dragonair (Shadow),Wrap,charged,normal,1.0,60,45,1.33,,General,
Dragonite,Draco Meteor,charged,dragon,1.2,150,65,2.31,100% chance -2 Atk self,Self-Debuff Nuke,elite
Dragonite,Dragon Claw,charged,dragon,1.2,50,35,1.43,,Spam/Bait,
Dragonite,Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,elite
Dragonite,Hurricane,charged,flying,1.2,110,65,1.69,,Nuke,
Dragonite,Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Dragonite,Outrage,charged,dragon,1.2,110,60,1.83,,Nuke,
Dragonite,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Dragonite,Superpower,charged,fighting,1.0,85,40,2.12,100% chance -1 Atk -1 Def self,Self-Debuff Spam,
Dragonite (Shadow),Draco Meteor,charged,dragon,1.2,150,65,2.31,100% chance -2 Atk self,Self-Debuff Nuke,elite
Dragonite (Shadow),Dragon Claw,charged,dragon,1.2,50,35,1.43,,Spam/Bait,
Dragonite (Shadow),Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,elite
Dragonite (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Dragonite (Shadow),Hurricane,charged,flying,1.2,110,65,1.69,,Nuke,
Dragonite (Shadow),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Dragonite (Shadow),Outrage,charged,dragon,1.2,110,60,1.83,,Nuke,
Dragonite (Shadow),Superpower,charged,fighting,1.0,85,40,2.12,100% chance -1 Atk -1 Def self,Self-Debuff Spam,
Drakloak,Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,
Drakloak,Outrage,charged,dragon,1.2,110,60,1.83,,Nuke,
Drakloak,Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Drampa,Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,
Drampa,Fly,charged,flying,1.0,80,45,1.78,,General,
Drampa,Outrage,charged,dragon,1.2,110,60,1.83,,Nuke,
Drapion,Aqua Tail,charged,water,1.0,55,35,1.57,,Spam/Bait,
Drapion,Crunch,charged,dark,1.2,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Drapion,Fell Stinger,charged,bug,1.0,20,35,0.57,100% chance +1 Atk self,Boost Spam/Bait,
Drapion,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Drapion,Sludge Bomb,charged,poison,1.2,80,50,1.6,,General,
Drapion (Shadow),Aqua Tail,charged,water,1.0,55,35,1.57,,Spam/Bait,
Drapion (Shadow),Crunch,charged,dark,1.2,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Drapion (Shadow),Fell Stinger,charged,bug,1.0,20,35,0.57,100% chance +1 Atk self,Boost Spam/Bait,
Drapion (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Drapion (Shadow),Sludge Bomb,charged,poison,1.2,80,50,1.6,,General,
Dratini,Aqua Tail,charged,water,1.0,55,35,1.57,,Spam/Bait,
Dratini,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Dratini,Twister,charged,dragon,1.2,45,45,1.0,,General,
Dratini,Wrap,charged,normal,1.0,60,45,1.33,,General,
Dratini (Shadow),Aqua Tail,charged,water,1.0,55,35,1.57,,Spam/Bait,
Dratini (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Dratini (Shadow),Twister,charged,dragon,1.2,45,45,1.0,,General,
Dratini (Shadow),Wrap,charged,normal,1.0,60,45,1.33,,General,
Drednaw,Body Slam,charged,normal,1.0,50,35,1.43,,Spam/Bait,
Drednaw,Rock Blast,charged,rock,1.2,50,40,1.25,,Spam/Bait,
Drednaw,Surf,charged,water,1.2,75,45,1.67,,General,
Dreepy,Struggle,charged,normal,1.0,35,100,0.35,,High Energy,
Drifblim,Icy Wind,charged,ice,1.0,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Drifblim,Mystical Fire,charged,fire,1.0,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Drifblim,Ominous Wind,charged,ghost,1.2,45,45,1.0,10.0% chance +1 Atk +1 Def self,Boost,
Drifblim,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Drifblim,Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Drifblim (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Drifblim (Shadow),Icy Wind,charged,ice,1.0,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Drifblim (Shadow),Mystical Fire,charged,fire,1.0,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Drifblim (Shadow),Ominous Wind,charged,ghost,1.2,45,45,1.0,10.0% chance +1 Atk +1 Def self,Boost,
Drifblim (Shadow),Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Drifloon,Icy Wind,charged,ice,1.0,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Drifloon,Ominous Wind,charged,ghost,1.2,45,45,1.0,10.0% chance +1 Atk +1 Def self,Boost,
Drifloon,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Drifloon,Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Drifloon (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Drifloon (Shadow),Icy Wind,charged,ice,1.0,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Drifloon (Shadow),Ominous Wind,charged,ghost,1.2,45,45,1.0,10.0% chance +1 Atk +1 Def self,Boost,
Drifloon (Shadow),Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Drilbur,Dig,charged,ground,1.2,70,50,1.4,,High Energy,
Drilbur,Drill Run,charged,ground,1.2,80,45,1.78,,General,
Drilbur,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Drilbur,Rock Tomb,charged,rock,1.0,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Drilbur (Shadow),Dig,charged,ground,1.2,70,50,1.4,,High Energy,
Drilbur (Shadow),Drill Run,charged,ground,1.2,80,45,1.78,,General,
Drilbur (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Drilbur (Shadow),Rock Tomb,charged,rock,1.0,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Drizzile,Surf,charged,water,1.2,75,45,1.67,,General,
Drizzile,Water Pulse,charged,water,1.2,80,55,1.45,,General,
Drowzee,Psybeam,charged,psychic,1.2,70,60,1.17,,High Energy,
Drowzee,Psychic,charged,psychic,1.2,75,55,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Drowzee,Psyshock,charged,psychic,1.2,70,45,1.56,,General,
Drowzee,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Drowzee (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Drowzee (Shadow),Psybeam,charged,psychic,1.2,70,60,1.17,,High Energy,
Drowzee (Shadow),Psychic,charged,psychic,1.2,75,55,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Drowzee (Shadow),Psyshock,charged,psychic,1.2,70,45,1.56,,General,
Druddigon,Dragon Claw,charged,dragon,1.2,50,35,1.43,,Spam/Bait,
Druddigon,Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Druddigon,Night Slash,charged,dark,1.0,50,35,1.43,12.5% chance +2 Atk self,Boost Spam/Bait,
Dubwool,Body Slam,charged,normal,1.2,50,35,1.43,,Spam/Bait,
Dubwool,Payback,charged,dark,1.0,110,60,1.83,,Nuke,
Dubwool,Wild Charge,charged,electric,1.0,100,45,2.22,100% chance -2 Def self,Self-Debuff,
Ducklett,Aerial Ace,charged,flying,1.2,55,40,1.38,,General,
Ducklett,Brave Bird,charged,flying,1.2,130,55,2.36,100% chance -3 Def self,Self-Debuff Nuke,
Ducklett,Bubble Beam,charged,water,1.2,25,40,0.62,100% chance -1 Atk opponent,Debuff Spam/Bait,
Ducklett,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Ducklett (Shadow),Aerial Ace,charged,flying,1.2,55,40,1.38,,General,
Ducklett (Shadow),Brave Bird,charged,flying,1.2,130,55,2.36,100% chance -3 Def self,Self-Debuff Nuke,
Ducklett (Shadow),Bubble Beam,charged,water,1.2,25,40,0.62,100% chance -1 Atk opponent,Debuff Spam/Bait,
Ducklett (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Dudunsparce,Dig,charged,ground,1.0,70,50,1.4,,High Energy,
Dudunsparce,Drill Run,charged,ground,1.0,80,45,1.78,,General,
Dudunsparce,Rock Slide,charged,rock,1.0,65,45,1.44,,General,
Dudunsparce_three,Dig,charged,ground,1.0,70,50,1.4,,High Energy,
Dudunsparce_three,Drill Run,charged,ground,1.0,80,45,1.78,,General,
Dudunsparce_three,Rock Slide,charged,rock,1.0,65,45,1.44,,General,
Dudunsparce_two,Dig,charged,ground,1.0,70,50,1.4,,High Energy,
Dudunsparce_two,Drill Run,charged,ground,1.0,80,45,1.78,,General,
Dudunsparce_two,Rock Slide,charged,rock,1.0,65,45,1.44,,General,
Dugtrio,Earthquake,charged,ground,1.2,110,65,1.69,,Nuke,
Dugtrio,Mud Bomb,charged,ground,1.2,60,40,1.5,,Spam/Bait,
Dugtrio,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Dugtrio,Stone Edge,charged,rock,1.0,100,55,1.82,,Nuke,
Dugtrio (Alolan),Earthquake,charged,ground,1.2,110,65,1.69,,Nuke,
Dugtrio (Alolan),Iron Head,charged,steel,1.2,70,50,1.4,,General,
Dugtrio (Alolan),Mud Bomb,charged,ground,1.2,60,40,1.5,,Spam/Bait,
Dugtrio (Alolan),Return,charged,normal,1.0,130,70,1.86,,Nuke,
Dugtrio (Alolan) (Shadow),Earthquake,charged,ground,1.2,110,65,1.69,,Nuke,
Dugtrio (Alolan) (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Dugtrio (Alolan) (Shadow),Iron Head,charged,steel,1.2,70,50,1.4,,General,
Dugtrio (Alolan) (Shadow),Mud Bomb,charged,ground,1.2,60,40,1.5,,Spam/Bait,
Dugtrio (Shadow),Earthquake,charged,ground,1.2,110,65,1.69,,Nuke,
Dugtrio (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Dugtrio (Shadow),Mud Bomb,charged,ground,1.2,60,40,1.5,,Spam/Bait,
Dugtrio (Shadow),Stone Edge,charged,rock,1.0,100,55,1.82,,Nuke,
Dunsparce,Dig,charged,ground,1.0,70,50,1.4,,High Energy,
Dunsparce,Drill Run,charged,ground,1.0,80,45,1.78,,General,
Dunsparce,Rock Slide,charged,rock,1.0,65,45,1.44,,General,
Duosion,Night Shade,charged,ghost,1.0,80,45,1.78,,General,
Duosion,Psyshock,charged,psychic,1.2,70,45,1.56,,General,
Duosion,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Duosion,Thunder,charged,electric,1.0,100,60,1.67,,High Energy,
Duosion (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Duosion (Shadow),Night Shade,charged,ghost,1.0,80,45,1.78,,General,
Duosion (Shadow),Psyshock,charged,psychic,1.2,70,45,1.56,,General,
Duosion (Shadow),Thunder,charged,electric,1.0,100,60,1.67,,High Energy,
Duraludon,Dragon Claw,charged,dragon,1.2,50,35,1.43,,Spam/Bait,
Duraludon,Flash Cannon,charged,steel,1.2,110,70,1.57,,Nuke,
Duraludon,Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Durant,Iron Head,charged,steel,1.2,70,50,1.4,,General,
Durant,Stone Edge,charged,rock,1.0,100,55,1.82,,Nuke,
Durant,X-Scissor,charged,bug,1.2,65,40,1.62,,Spam/Bait,
Dusclops,Fire Punch,charged,fire,1.0,60,40,1.5,,Spam/Bait,
Dusclops,Ice Punch,charged,ice,1.0,60,40,1.5,,Spam/Bait,
Dusclops,Poltergeist,charged,ghost,1.2,150,75,2.0,,Nuke,
Dusclops,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Dusclops,Shadow Punch,charged,ghost,1.2,55,35,1.57,,Spam/Bait,
Dusclops (Shadow),Fire Punch,charged,fire,1.0,60,40,1.5,,Spam/Bait,
Dusclops (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Dusclops (Shadow),Ice Punch,charged,ice,1.0,60,40,1.5,,Spam/Bait,
Dusclops (Shadow),Poltergeist,charged,ghost,1.2,150,75,2.0,,Nuke,
Dusclops (Shadow),Shadow Punch,charged,ghost,1.2,55,35,1.57,,Spam/Bait,
Dusknoir,Dark Pulse,charged,dark,1.0,80,50,1.6,,General,
Dusknoir,Ominous Wind,charged,ghost,1.2,45,45,1.0,10.0% chance +1 Atk +1 Def self,Boost,
Dusknoir,Poltergeist,charged,ghost,1.2,150,75,2.0,,Nuke,
Dusknoir,Psychic,charged,psychic,1.0,75,55,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Dusknoir,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Dusknoir,Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,elite
Dusknoir,Shadow Punch,charged,ghost,1.2,55,35,1.57,,Spam/Bait,
Dusknoir (Shadow),Dark Pulse,charged,dark,1.0,80,50,1.6,,General,
Dusknoir (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Dusknoir (Shadow),Ominous Wind,charged,ghost,1.2,45,45,1.0,10.0% chance +1 Atk +1 Def self,Boost,
Dusknoir (Shadow),Poltergeist,charged,ghost,1.2,150,75,2.0,,Nuke,
Dusknoir (Shadow),Psychic,charged,psychic,1.0,75,55,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Dusknoir (Shadow),Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,elite
Dusknoir (Shadow),Shadow Punch,charged,ghost,1.2,55,35,1.57,,Spam/Bait,
Duskull,Night Shade,charged,ghost,1.2,80,45,1.78,,General,
Duskull,Ominous Wind,charged,ghost,1.2,45,45,1.0,10.0% chance +1 Atk +1 Def self,Boost,
Duskull,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Duskull,Shadow Sneak,charged,ghost,1.2,50,45,1.11,,General,
Duskull (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Duskull (Shadow),Night Shade,charged,ghost,1.2,80,45,1.78,,General,
Duskull (Shadow),Ominous Wind,charged,ghost,1.2,45,45,1.0,10.0% chance +1 Atk +1 Def self,Boost,
Duskull (Shadow),Shadow Sneak,charged,ghost,1.2,50,45,1.11,,General,
Dustox,Bug Buzz,charged,bug,1.2,100,60,1.67,30.0% chance -1 Def opponent,High Energy Debuff,
Dustox,Silver Wind,charged,bug,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Dustox,Sludge Bomb,charged,poison,1.2,80,50,1.6,,General,
Dwebble,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Dwebble,Rock Blast,charged,rock,1.2,50,40,1.25,,Spam/Bait,
Dwebble,Rock Tomb,charged,rock,1.2,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Dwebble,X-Scissor,charged,bug,1.2,65,40,1.62,,Spam/Bait,
Dwebble (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Dwebble (Shadow),Rock Blast,charged,rock,1.2,50,40,1.25,,Spam/Bait,
Dwebble (Shadow),Rock Tomb,charged,rock,1.2,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
