pokemon,move,move_kind,type,stab_bonus,damage,energy_gain,turns,damage_per_turn,energy_per_turn,energy,damage_per_energy,effect,archetype,notes
Corsola,Power Gem,charged,rock,1.2,85,0,1,,,50.0,1.7,,General,
Corsola,Rock Blast,charged,rock,1.2,50,0,1,,,40.0,1.25,,Spam/Bait,
Corsola (Galarian),Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,,,,Multipurpose,
Corsola (Galarian),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Corsola (Galarian),Night Shade,charged,ghost,1.2,80,0,1,,,45.0,1.78,,General,
Corsola (Galarian),Power Gem,charged,rock,1.0,85,0,1,,,50.0,1.7,,General,
Corsola (Galarian),Rock Blast,charged,rock,1.0,50,0,1,,,40.0,1.25,,Spam/Bait,
Corviknight,Air Slash,fast,flying,1.2,9,9,3,3.0,3.0,,,,General,
Corviknight,Sand Attack,fast,ground,1.0,2,4,1,2.0,4.0,,,,Fast Charge,
Corviknight,Steel Wing,fast,steel,1.2,7,6,2,3.5,3.0,,,,General,
Corviknight,Iron Head,charged,steel,1.2,70,0,1,,,50.0,1.4,,General,elite
Corviknight,Payback,charged,dark,1.0,110,0,1,,,60.0,1.83,,Nuke,
Corviknight,Sky Attack,charged,flying,1.2,85,0,1,,,55.0,1.55,,High Energy,
Corvisquire,Air Slash,fast,flying,1.2,9,9,3,3.0,3.0,,,,General,
Corvisquire,Peck,fast,flying,1.2,6,5,2,3.0,2.5,,,,Low Quality,
Corvisquire,Sand Attack,fast,ground,1.0,2,4,1,2.0,4.0,,,,Fast Charge,
Corvisquire,Payback,charged,dark,1.0,110,0,1,,,60.0,1.83,,Nuke,
Corvisquire,Sky Attack,charged,flying,1.2,85,0,1,,,55.0,1.55,,High Energy,
Cosmoem,Splash,fast,water,1.0,0,12,4,0.0,3.0,,,,Low Quality,
Cosmoem,Struggle,charged,normal,1.0,35,0,1,,,100.0,0.35,,High Energy,
Cosmog,Splash,fast,water,1.0,0,12,4,0.0,3.0,,,,Low Quality,
Cosmog,Struggle,charged,normal,1.0,35,0,1,,,100.0,0.35,,High Energy,
Cottonee,Charm,fast,fairy,1.2,15,6,3,5.0,2.0,,,,Heavy Damage,
Cottonee,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,,,,Heavy Damage,
Cottonee,Energy Ball,charged,grass,1.2,90,0,1,,,55.0,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Cottonee,Grass Knot,charged,grass,1.2,90,0,1,,,50.0,1.8,,General,
Cottonee,Seed Bomb,charged,grass,1.2,65,0,1,,,45.0,1.44,,General,
Crabominable,Bubble,fast,water,1.0,8,11,3,2.67,3.67,,,,Fast Charge,
Crabominable,Rock Smash,fast,fighting,1.2,9,7,3,3.0,2.33,,,,Low Quality,
Crabominable,Brick Break,charged,fighting,1.2,40,0,1,,,40.0,1.0,100% chance -1 Def opponent,Debuff Spam/Bait,
Crabominable,Crabhammer,charged,water,1.0,85,0,1,,,50.0,1.7,12.5% chance +2 Atk self,Boost,
Crabominable,Ice Punch,charged,ice,1.2,60,0,1,,,40.0,1.5,,Spam/Bait,
Crabominable,Payback,charged,dark,1.0,110,0,1,,,60.0,1.83,,Nuke,
Crabominable,Power-Up Punch,charged,fighting,1.2,20,0,1,,,35.0,0.57,100% chance +1 Atk self,Boost Spam/Bait,
Crabrawler,Bubble,fast,water,1.0,8,11,3,2.67,3.67,,,,Fast Charge,
Crabrawler,Rock Smash,fast,fighting,1.2,9,7,3,3.0,2.33,,,,Low Quality,
Crabrawler,Brick Break,charged,fighting,1.2,40,0,1,,,40.0,1.0,100% chance -1 Def opponent,Debuff Spam/Bait,
Crabrawler,Crabhammer,charged,water,1.0,85,0,1,,,50.0,1.7,12.5% chance +2 Atk self,Boost,
Crabrawler,Payback,charged,dark,1.0,110,0,1,,,60.0,1.83,,Nuke,
Crabrawler,Power-Up Punch,charged,fighting,1.2,20,0,1,,,35.0,0.57,100% chance +1 Atk self,Boost Spam/Bait,
Cradily,Acid,fast,poison,1.0,6,5,2,3.0,2.5,,,,Low Quality,
Cradily,Bullet Seed,fast,grass,1.2,5,13,3,1.67,4.33,,,,Fast Charge,
Cradily,Infestation,fast,bug,1.0,6,12,3,2.0,4.0,,,,Fast Charge,
Cradily,Bulldoze,charged,ground,1.0,45,0,1,,,45.0,1.0,50.0% chance -1 Def opponent,Debuff Spam/Bait,
Cradily,Grass Knot,charged,grass,1.2,90,0,1,,,50.0,1.8,,General,
Cradily,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Cradily,Rock Slide,charged,rock,1.2,65,0,1,,,45.0,1.44,,General,
Cradily,Stone Edge,charged,rock,1.2,100,0,1,,,55.0,1.82,,Nuke,
Cradily (Shadow),Acid,fast,poison,1.0,6,5,2,3.0,2.5,,,,Low Quality,
Cradily (Shadow),Bullet Seed,fast,grass,1.2,5,13,3,1.67,4.33,,,,Fast Charge,
Cradily (Shadow),Infestation,fast,bug,1.0,6,12,3,2.0,4.0,,,,Fast Charge,
Cradily (Shadow),Bulldoze,charged,ground,1.0,45,0,1,,,45.0,1.0,50.0% chance -1 Def opponent,Debuff Spam/Bait,
Cradily (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Cradily (Shadow),Grass Knot,charged,grass,1.2,90,0,1,,,50.0,1.8,,General,
Cradily (Shadow),Rock Slide,charged,rock,1.2,65,0,1,,,45.0,1.44,,General,
Cradily (Shadow),Stone Edge,charged,rock,1.2,100,0,1,,,55.0,1.82,,Nuke,
Cramorant,Peck,fast,flying,1.2,6,5,2,3.0,2.5,,,,Low Quality,
Cramorant,Water Gun,fast,water,1.2,3,3,1,3.0,3.0,,,,General,
Cramorant,Drill Peck,charged,flying,1.2,65,0,1,,,40.0,1.62,,Spam/Bait,
Cramorant,Fly,charged,flying,1.2,80,0,1,,,45.0,1.78,,General,
Cramorant,Hydro Pump,charged,water,1.2,130,0,1,,,75.0,1.73,,Nuke,
Cranidos,Take Down,fast,normal,1.0,5,8,3,1.67,2.67,,,,Low Quality,
Cranidos,Zen Headbutt,fast,psychic,1.0,8,6,3,2.67,2.0,,,,Low Quality,
Cranidos,Ancient Power,charged,rock,1.2,60,0,1,,,45.0,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Cranidos,Bulldoze,charged,ground,1.0,45,0,1,,,45.0,1.0,50.0% chance -1 Def opponent,Debuff Spam/Bait,
Cranidos,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Cranidos,Rock Tomb,charged,rock,1.2,70,0,1,,,60.0,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Cranidos (Shadow),Take Down,fast,normal,1.0,5,8,3,1.67,2.67,,,,Low Quality,
Cranidos (Shadow),Zen Headbutt,fast,psychic,1.0,8,6,3,2.67,2.0,,,,Low Quality,
Cranidos (Shadow),Ancient Power,charged,rock,1.2,60,0,1,,,45.0,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Cranidos (Shadow),Bulldoze,charged,ground,1.0,45,0,1,,,45.0,1.0,50.0% chance -1 Def opponent,Debuff Spam/Bait,
Cranidos (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Cranidos (Shadow),Rock Tomb,charged,rock,1.2,70,0,1,,,60.0,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Crawdaunt,Snarl,fast,dark,1.2,5,13,3,1.67,4.33,,,,Fast Charge,
Crawdaunt,Waterfall,fast,water,1.2,12,8,3,4.0,2.67,,,,Heavy Damage,
Crawdaunt,Bubble Beam,charged,water,1.2,25,0,1,,,40.0,0.62,100% chance -1 Atk opponent,Debuff Spam/Bait,
Crawdaunt,Crabhammer,charged,water,1.2,85,0,1,,,50.0,1.7,12.5% chance +2 Atk self,Boost,
Crawdaunt,Night Slash,charged,dark,1.2,50,0,1,,,35.0,1.43,12.5% chance +2 Atk self,Boost Spam/Bait,
Crawdaunt,Razor Shell,charged,water,1.2,35,0,1,,,35.0,1.0,50.0% chance -1 Def opponent,Spam/Bait Debuff,
Crawdaunt,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Crawdaunt,Scald,charged,water,1.2,85,0,1,,,50.0,1.7,30.0% chance -1 Atk opponent,High Energy Debuff,
Crawdaunt,Vise Grip,charged,normal,1.0,40,0,1,,,40.0,1.0,,Spam/Bait,
Crawdaunt (Shadow),Snarl,fast,dark,1.2,5,13,3,1.67,4.33,,,,Fast Charge,
Crawdaunt (Shadow),Waterfall,fast,water,1.2,12,8,3,4.0,2.67,,,,Heavy Damage,
Crawdaunt (Shadow),Bubble Beam,charged,water,1.2,25,0,1,,,40.0,0.62,100% chance -1 Atk opponent,Debuff Spam/Bait,
Crawdaunt (Shadow),Crabhammer,charged,water,1.2,85,0,1,,,50.0,1.7,12.5% chance +2 Atk self,Boost,
Crawdaunt (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Crawdaunt (Shadow),Night Slash,charged,dark,1.2,50,0,1,,,35.0,1.43,12.5% chance +2 Atk self,Boost Spam/Bait,
Crawdaunt (Shadow),Razor Shell,charged,water,1.2,35,0,1,,,35.0,1.0,50.0% chance -1 Def opponent,Spam/Bait Debuff,
Crawdaunt (Shadow),Scald,charged,water,1.2,85,0,1,,,50.0,1.7,30.0% chance -1 Atk opponent,High Energy Debuff,
Crawdaunt (Shadow),Vise Grip,charged,normal,1.0,40,0,1,,,40.0,1.0,,Spam/Bait,
Cresselia,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,,,,Multipurpose,
Cresselia,Psycho Cut,fast,psychic,1.2,3,9,2,1.5,4.5,,,,Fast Charge,
Cresselia,Aurora Beam,charged,ice,1.0,80,0,1,,,60.0,1.33,,High Energy,
Cresselia,Future Sight,charged,psychic,1.2,110,0,1,,,65.0,1.69,,Nuke,
Cresselia,Grass Knot,charged,grass,1.0,90,0,1,,,50.0,1.8,,General,elite
Cresselia,Moonblast,charged,fairy,1.0,110,0,1,,,60.0,1.83,10.0% chance -1 Atk opponent,Debuff Nuke,
Cresselia,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Cresselia (Shadow),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,,,,Multipurpose,
Cresselia (Shadow),Psycho Cut,fast,psychic,1.2,3,9,2,1.5,4.5,,,,Fast Charge,
Cresselia (Shadow),Aurora Beam,charged,ice,1.0,80,0,1,,,60.0,1.33,,High Energy,
Cresselia (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Cresselia (Shadow),Future Sight,charged,psychic,1.2,110,0,1,,,65.0,1.69,,Nuke,
Cresselia (Shadow),Grass Knot,charged,grass,1.0,90,0,1,,,50.0,1.8,,General,elite
Cresselia (Shadow),Moonblast,charged,fairy,1.0,110,0,1,,,60.0,1.83,10.0% chance -1 Atk opponent,Debuff Nuke,
Croagunk,Mud Shot,fast,ground,1.0,4,8,2,2.0,4.0,,,,Fast Charge,
Croagunk,Poison Jab,fast,poison,1.2,7,7,2,3.5,3.5,,,,General,
Croagunk,Poison Sting,fast,poison,1.2,4,9,2,2.0,4.5,,,,Fast Charge,
Croagunk,Brick Break,charged,fighting,1.2,40,0,1,,,40.0,1.0,100% chance -1 Def opponent,Debuff Spam/Bait,
Croagunk,Low Sweep,charged,fighting,1.2,40,0,1,,,40.0,1.0,,Spam/Bait,
Croagunk,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Croagunk,Sludge Bomb,charged,poison,1.2,80,0,1,,,50.0,1.6,,General,
Croagunk (Shadow),Mud Shot,fast,ground,1.0,4,8,2,2.0,4.0,,,,Fast Charge,
Croagunk (Shadow),Poison Jab,fast,poison,1.2,7,7,2,3.5,3.5,,,,General,
Croagunk (Shadow),Poison Sting,fast,poison,1.2,4,9,2,2.0,4.5,,,,Fast Charge,
Croagunk (Shadow),Brick Break,charged,fighting,1.2,40,0,1,,,40.0,1.0,100% chance -1 Def opponent,Debuff Spam/Bait,
Croagunk (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Croagunk (Shadow),Low Sweep,charged,fighting,1.2,40,0,1,,,40.0,1.0,,Spam/Bait,
Croagunk (Shadow),Sludge Bomb,charged,poison,1.2,80,0,1,,,50.0,1.6,,General,
Crobat,Air Slash,fast,flying,1.2,9,9,3,3.0,3.0,,,,General,
Crobat,Bite,fast,dark,1.0,4,2,1,4.0,2.0,,,,Heavy Damage,
Crobat,Air Cutter,charged,flying,1.2,60,0,1,,,55.0,1.09,,High Energy,
Crobat,Cross Poison,charged,poison,1.2,50,0,1,,,35.0,1.43,12.5% chance +2 Atk self,Boost Spam/Bait,
Crobat,Poison Fang,charged,poison,1.2,45,0,1,,,40.0,1.12,100% chance -1 Def opponent,Debuff Spam/Bait,
Crobat,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Crobat,Shadow Ball,charged,ghost,1.0,100,0,1,,,55.0,1.82,,Nuke,
Crobat,Sludge Bomb,charged,poison,1.2,80,0,1,,,50.0,1.6,,General,
Crobat (Shadow),Air Slash,fast,flying,1.2,9,9,3,3.0,3.0,,,,General,
Crobat (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,,,,Heavy Damage,
Crobat (Shadow),Air Cutter,charged,flying,1.2,60,0,1,,,55.0,1.09,,High Energy,
Crobat (Shadow),Cross Poison,charged,poison,1.2,50,0,1,,,35.0,1.43,12.5% chance +2 Atk self,Boost Spam/Bait,
Crobat (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Crobat (Shadow),Poison Fang,charged,poison,1.2,45,0,1,,,40.0,1.12,100% chance -1 Def opponent,Debuff Spam/Bait,
Crobat (Shadow),Shadow Ball,charged,ghost,1.0,100,0,1,,,55.0,1.82,,Nuke,
Crobat (Shadow),Sludge Bomb,charged,poison,1.2,80,0,1,,,50.0,1.6,,General,
Crocalor,Bite,fast,dark,1.0,4,2,1,4.0,2.0,,,,Heavy Damage,
Crocalor,Incinerate,fast,fire,1.2,20,20,5,4.0,4.0,,,,Multipurpose,
Crocalor,Crunch,charged,dark,1.0,70,0,1,,,45.0,1.56,30.0% chance -1 Def opponent,Debuff,
Crocalor,Disarming Voice,charged,fairy,1.0,70,0,1,,,45.0,1.56,,General,
Crocalor,Flamethrower,charged,fire,1.2,90,0,1,,,55.0,1.64,,High Energy,
Croconaw,Scratch,fast,normal,1.0,4,2,1,4.0,2.0,,,,Heavy Damage,
Croconaw,Water Gun,fast,water,1.2,3,3,1,3.0,3.0,,,,General,
Croconaw,Crunch,charged,dark,1.0,70,0,1,,,45.0,1.56,30.0% chance -1 Def opponent,Debuff,
Croconaw,Ice Punch,charged,ice,1.0,60,0,1,,,40.0,1.5,,Spam/Bait,
Croconaw,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Croconaw,Water Pulse,charged,water,1.2,80,0,1,,,55.0,1.45,,General,
Croconaw (Shadow),Scratch,fast,normal,1.0,4,2,1,4.0,2.0,,,,Heavy Damage,
Croconaw (Shadow),Water Gun,fast,water,1.2,3,3,1,3.0,3.0,,,,General,
Croconaw (Shadow),Crunch,charged,dark,1.0,70,0,1,,,45.0,1.56,30.0% chance -1 Def opponent,Debuff,
Croconaw (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Croconaw (Shadow),Ice Punch,charged,ice,1.0,60,0,1,,,40.0,1.5,,Spam/Bait,
Croconaw (Shadow),Water Pulse,charged,water,1.2,80,0,1,,,55.0,1.45,,General,
Crustle,Fury Cutter,fast,bug,1.2,2,4,1,2.0,4.0,,,,Fast Charge,
Crustle,Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,,,,Heavy Damage,
Crustle,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Crustle,Rock Blast,charged,rock,1.2,50,0,1,,,40.0,1.25,,Spam/Bait,
Crustle,Rock Slide,charged,rock,1.2,65,0,1,,,45.0,1.44,,General,
Crustle,X-Scissor,charged,bug,1.2,65,0,1,,,40.0,1.62,,Spam/Bait,
Crustle (Shadow),Fury Cutter,fast,bug,1.2,2,4,1,2.0,4.0,,,,Fast Charge,
Crustle (Shadow),Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,,,,Heavy Damage,
Crustle (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Crustle (Shadow),Rock Blast,charged,rock,1.2,50,0,1,,,40.0,1.25,,Spam/Bait,
Crustle (Shadow),Rock Slide,charged,rock,1.2,65,0,1,,,45.0,1.44,,General,
Crustle (Shadow),X-Scissor,charged,bug,1.2,65,0,1,,,40.0,1.62,,Spam/Bait,
Cryogonal,Frost Breath,fast,ice,1.2,7,5,2,3.5,2.5,,,,Heavy Damage,
Cryogonal,Ice Shard,fast,ice,1.2,9,10,3,3.0,3.33,,,,General,
Cryogonal,Aurora Beam,charged,ice,1.2,80,0,1,,,60.0,1.33,,High Energy,
Cryogonal,Night Slash,charged,dark,1.0,50,0,1,,,35.0,1.43,12.5% chance +2 Atk self,Boost Spam/Bait,
Cryogonal,Solar Beam,charged,grass,1.0,150,0,1,,,80.0,1.88,,Nuke,
Cryogonal,Triple Axel,charged,ice,1.2,60,0,1,,,45.0,1.33,100% chance +1 Atk self,Boost,
Cryogonal,Water Pulse,charged,water,1.0,80,0,1,,,55.0,1.45,,General,
Cubchoo,Charm,fast,fairy,1.0,15,6,3,5.0,2.0,,,,Heavy Damage,
Cubchoo,Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,,,,Fast Charge,
Cubchoo,Ice Punch,charged,ice,1.2,60,0,1,,,40.0,1.5,,Spam/Bait,
Cubchoo,Icy Wind,charged,ice,1.2,60,0,1,,,45.0,1.33,100% chance -1 Atk opponent,Debuff,
Cubchoo,Play Rough,charged,fairy,1.0,90,0,1,,,60.0,1.5,,High Energy,
Cubone,Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,,,,Multipurpose,
Cubone,Rock Smash,fast,fighting,1.0,9,7,3,3.0,2.33,,,,Low Quality,
Cubone,Bone Club,charged,ground,1.2,55,0,1,,,35.0,1.57,,Spam/Bait,
Cubone,Bulldoze,charged,ground,1.2,45,0,1,,,45.0,1.0,50.0% chance -1 Def opponent,Debuff Spam/Bait,
Cubone,Dig,charged,ground,1.2,70,0,1,,,50.0,1.4,,High Energy,
Cubone,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Cubone (Shadow),Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,,,,Multipurpose,
Cubone (Shadow),Rock Smash,fast,fighting,1.0,9,7,3,3.0,2.33,,,,Low Quality,
Cubone (Shadow),Bone Club,charged,ground,1.2,55,0,1,,,35.0,1.57,,Spam/Bait,
Cubone (Shadow),Bulldoze,charged,ground,1.2,45,0,1,,,45.0,1.0,50.0% chance -1 Def opponent,Debuff Spam/Bait,
Cubone (Shadow),Dig,charged,ground,1.2,70,0,1,,,50.0,1.4,,High Energy,
Cubone (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Cufant,Rock Smash,fast,fighting,1.0,9,7,3,3.0,2.33,,,,Low Quality,
Cufant,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Cufant,Dig,charged,ground,1.0,70,0,1,,,50.0,1.4,,High Energy,
Cufant,Iron Head,charged,steel,1.2,70,0,1,,,50.0,1.4,,General,
Cufant,Play Rough,charged,fairy,1.0,90,0,1,,,60.0,1.5,,High Energy,
Cursola,Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,,,,Multipurpose,
Cursola,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Cursola,Night Shade,charged,ghost,1.2,80,0,1,,,45.0,1.78,,General,
Cursola,Power Gem,charged,rock,1.0,85,0,1,,,50.0,1.7,,General,
Cursola,Rock Blast,charged,rock,1.0,50,0,1,,,40.0,1.25,,Spam/Bait,
Cutiefly,Fairy Wind,fast,fairy,1.2,4,9,2,2.0,4.5,,,,Fast Charge,
Cutiefly,Struggle Bug,fast,bug,1.2,9,8,3,3.0,2.67,,,,Low Quality,
Cutiefly,Bug Buzz,charged,bug,1.2,100,0,1,,,60.0,1.67,30.0% chance -1 Def opponent,High Energy Debuff,
Cutiefly,Dazzling Gleam,charged,fairy,1.2,110,0,1,,,70.0,1.57,,Nuke,
Cyclizar,Dragon Tail,fast,dragon,1.2,13,9,3,4.33,3.0,,,,Multipurpose,
Cyclizar,Take Down,fast,normal,1.2,5,8,3,1.67,2.67,,,,Low Quality,
Cyclizar,Body Slam,charged,normal,1.2,50,0,1,,,35.0,1.43,,Spam/Bait,
Cyclizar,Dragon Claw,charged,dragon,1.2,50,0,1,,,35.0,1.43,,Spam/Bait,
Cyndaquil,Ember,fast,fire,1.2,7,6,2,3.5,3.0,,,,Heavy Damage,
Cyndaquil,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Cyndaquil,Flame Charge,charged,fire,1.2,65,0,1,,,50.0,1.3,100% chance +1 Atk self,Boost,
Cyndaquil,Flamethrower,charged,fire,1.2,90,0,1,,,55.0,1.64,,High Energy,
Cyndaquil,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Cyndaquil,Swift,charged,normal,1.0,55,0,1,,,35.0,1.57,,Spam/Bait,
Cyndaquil (Shadow),Ember,fast,fire,1.2,7,6,2,3.5,3.0,,,,Heavy Damage,
Cyndaquil (Shadow),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Cyndaquil (Shadow),Flame Charge,charged,fire,1.2,65,0,1,,,50.0,1.3,100% chance +1 Atk self,Boost,
Cyndaquil (Shadow),Flamethrower,charged,fire,1.2,90,0,1,,,55.0,1.64,,High Energy,
Cyndaquil (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Cyndaquil (Shadow),Swift,charged,normal,1.0,55,0,1,,,35.0,1.57,,Spam/Bait,
Dachsbun,Bite,fast,dark,1.0,4,2,1,4.0,2.0,,,,Heavy Damage,
Dachsbun,Charm,fast,fairy,1.2,15,6,3,5.0,2.0,,,,Heavy Damage,
Dachsbun,Body Slam,charged,normal,1.0,50,0,1,,,35.0,1.43,,Spam/Bait,
Dachsbun,Play Rough,charged,fairy,1.2,90,0,1,,,60.0,1.5,,High Energy,
Dachsbun,Psychic Fangs,charged,psychic,1.0,40,0,1,,,35.0,1.14,100% chance -1 Def opponent,Debuff Spam/Bait,
Darkrai,Feint Attack,fast,dark,1.2,6,6,2,3.0,3.0,,,,General,
Darkrai,Snarl,fast,dark,1.2,5,13,3,1.67,4.33,,,,Fast Charge,
Darkrai,Dark Pulse,charged,dark,1.2,80,0,1,,,50.0,1.6,,General,
Darkrai,Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Darkrai,Shadow Ball,charged,ghost,1.0,100,0,1,,,55.0,1.82,,Nuke,
Darkrai,Sludge Bomb,charged,poison,1.0,80,0,1,,,50.0,1.6,,General,elite
Darmanitan (Galarian Zen),Ice Fang,fast,ice,1.2,8,6,2,4.0,3.0,,,,Multipurpose,
Darmanitan (Galarian Zen),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Darmanitan (Galarian Zen),Avalanche,charged,ice,1.2,90,0,1,,,45.0,2.0,,General,
Darmanitan (Galarian Zen),Ice Punch,charged,ice,1.2,60,0,1,,,40.0,1.5,,Spam/Bait,
Darmanitan (Galarian Zen),Overheat,charged,fire,1.2,130,0,1,,,55.0,2.36,100% chance -2 Atk self,Self-Debuff Nuke,
Darmanitan (Galarian Zen),Superpower,charged,fighting,1.0,85,0,1,,,40.0,2.12,100% chance -1 Atk -1 Def self,Self-Debuff Spam,
Darmanitan (Galarian),Ice Fang,fast,ice,1.2,8,6,2,4.0,3.0,,,,Multipurpose,
Darmanitan (Galarian),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Darmanitan (Galarian),Avalanche,charged,ice,1.2,90,0,1,,,45.0,2.0,,General,
Darmanitan (Galarian),Ice Punch,charged,ice,1.2,60,0,1,,,40.0,1.5,,Spam/Bait,
Darmanitan (Galarian),Overheat,charged,fire,1.0,130,0,1,,,55.0,2.36,100% chance -2 Atk self,Self-Debuff Nuke,
Darmanitan (Galarian),Superpower,charged,fighting,1.0,85,0,1,,,40.0,2.12,100% chance -1 Atk -1 Def self,Self-Debuff Spam,
Darmanitan (Standard),Fire Fang,fast,fire,1.2,8,6,2,4.0,3.0,,,,Multipurpose,
Darmanitan (Standard),Incinerate,fast,fire,1.2,20,20,5,4.0,4.0,,,,Multipurpose,
Darmanitan (Standard),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Darmanitan (Standard),Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Darmanitan (Standard),Overheat,charged,fire,1.2,130,0,1,,,55.0,2.36,100% chance -2 Atk self,Self-Debuff Nuke,
Darmanitan (Standard),Psychic,charged,psychic,1.0,75,0,1,,,55.0,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Darmanitan (Standard),Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Darmanitan (Standard),Rock Slide,charged,rock,1.0,65,0,1,,,45.0,1.44,,General,
Darmanitan (Standard) (Shadow),Fire Fang,fast,fire,1.2,8,6,2,4.0,3.0,,,,Multipurpose,
Darmanitan (Standard) (Shadow),Incinerate,fast,fire,1.2,20,20,5,4.0,4.0,,,,Multipurpose,
Darmanitan (Standard) (Shadow),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Darmanitan (Standard) (Shadow),Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Darmanitan (Standard) (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Darmanitan (Standard) (Shadow),Overheat,charged,fire,1.2,130,0,1,,,55.0,2.36,100% chance -2 Atk self,Self-Debuff Nuke,
Darmanitan (Standard) (Shadow),Psychic,charged,psychic,1.0,75,0,1,,,55.0,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Darmanitan (Standard) (Shadow),Rock Slide,charged,rock,1.0,65,0,1,,,45.0,1.44,,General,
Darmanitan (Zen),Fire Fang,fast,fire,1.2,8,6,2,4.0,3.0,,,,Multipurpose,
Darmanitan (Zen),Incinerate,fast,fire,1.2,20,20,5,4.0,4.0,,,,Multipurpose,
Darmanitan (Zen),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Darmanitan (Zen),Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Darmanitan (Zen),Overheat,charged,fire,1.2,130,0,1,,,55.0,2.36,100% chance -2 Atk self,Self-Debuff Nuke,
Darmanitan (Zen),Psychic,charged,psychic,1.2,75,0,1,,,55.0,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Darmanitan (Zen),Rock Slide,charged,rock,1.0,65,0,1,,,45.0,1.44,,General,
Dartrix,Leafage,fast,grass,1.2,6,7,2,3.0,3.5,,,,General,
Dartrix,Magical Leaf,fast,grass,1.2,10,10,3,3.33,3.33,,,,General,
Dartrix,Peck,fast,flying,1.2,6,5,2,3.0,2.5,,,,Low Quality,
Dartrix,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,,,,Heavy Damage,
Dartrix,Brave Bird,charged,flying,1.2,130,0,1,,,55.0,2.36,100% chance -3 Def self,Self-Debuff Nuke,
