pokemon,move,move_kind,type,stab_bonus,damage,energy_gain,turns,damage_per_turn,energy_per_turn,archetype,notes
Garchomp,Dragon Tail,fast,dragon,1.2,13,9,3,4.33,3.0,Multipurpose,
Garchomp,Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Garchomp (Mega),Dragon Tail,fast,dragon,1.2,13,9,3,4.33,3.0,Multipurpose,
Garchomp (Mega),Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Garchomp (Shadow),Dragon Tail,fast,dragon,1.2,13,9,3,4.33,3.0,Multipurpose,
Garchomp (Shadow),Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Gardevoir,Charge Beam,fast,electric,1.0,5,11,3,1.67,3.67,Fast Charge,
Gardevoir,Charm,fast,fairy,1.2,15,6,3,5.0,2.0,Heavy Damage,
Gardevoir,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Gardevoir,Magical Leaf,fast,grass,1.0,10,10,3,3.33,3.33,General,
Gardevoir (Mega),Charge Beam,fast,electric,1.0,5,11,3,1.67,3.67,Fast Charge,
Gardevoir (Mega),Charm,fast,fairy,1.2,15,6,3,5.0,2.0,Heavy Damage,
Gardevoir (Mega),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Gardevoir (Mega),Magical Leaf,fast,grass,1.0,10,10,3,3.33,3.33,General,
Gardevoir (Shadow),Charge Beam,fast,electric,1.0,5,11,3,1.67,3.67,Fast Charge,
Gardevoir (Shadow),Charm,fast,fairy,1.2,15,6,3,5.0,2.0,Heavy Damage,
Gardevoir (Shadow),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Gardevoir (Shadow),Magical Leaf,fast,grass,1.0,10,10,3,3.33,3.33,General,
Garganacl,Mud Shot,fast,ground,1.0,4,8,2,2.0,4.0,Fast Charge,
Garganacl,Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,Heavy Damage,
Gastly,Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,Multipurpose,
Gastly,Lick,fast,ghost,1.2,3,3,1,3.0,3.0,General,
Gastly,Sucker Punch,fast,dark,1.0,8,7,2,4.0,3.5,Multipurpose,elite
Gastly (Shadow),Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,Multipurpose,
Gastly (Shadow),Lick,fast,ghost,1.2,3,3,1,3.0,3.0,General,
Gastly (Shadow),Sucker Punch,fast,dark,1.0,8,7,2,4.0,3.5,Multipurpose,elite
Gastrodon,Hidden Power (Bug),fast,bug,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Dark),fast,dark,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Dragon),fast,dragon,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Electric),fast,electric,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Fighting),fast,fighting,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Fire),fast,fire,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Flying),fast,flying,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Ghost),fast,ghost,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Grass),fast,grass,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Ground),fast,ground,1.2,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Ice),fast,ice,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Poison),fast,poison,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Psychic),fast,psychic,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Rock),fast,rock,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Steel),fast,steel,1.0,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Hidden Power (Water),fast,water,1.2,9,8,3,3.0,2.67,Low Quality,
Gastrodon,Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,Multipurpose,
Genesect,Fury Cutter,fast,bug,1.2,2,4,1,2.0,4.0,Fast Charge,
Genesect,Metal Claw,fast,steel,1.2,5,7,2,2.5,3.5,General,
Genesect (Burn),Fury Cutter,fast,bug,1.2,2,4,1,2.0,4.0,Fast Charge,
Genesect (Burn),Metal Claw,fast,steel,1.2,5,7,2,2.5,3.5,General,
Genesect (Chill),Fury Cutter,fast,bug,1.2,2,4,1,2.0,4.0,Fast Charge,
Genesect (Chill),Metal Claw,fast,steel,1.2,5,7,2,2.5,3.5,General,
Genesect (Douse),Fury Cutter,fast,bug,1.2,2,4,1,2.0,4.0,Fast Charge,
Genesect (Douse),Metal Claw,fast,steel,1.2,5,7,2,2.5,3.5,General,
Genesect (Shock),Fury Cutter,fast,bug,1.2,2,4,1,2.0,4.0,Fast Charge,
Genesect (Shock),Metal Claw,fast,steel,1.2,5,7,2,2.5,3.5,General,
Gengar,Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Gengar,Lick,fast,ghost,1.2,3,3,1,3.0,3.0,General,elite
Gengar,Shadow Claw,fast,ghost,1.2,6,8,2,3.0,4.0,Multipurpose,
Gengar,Sucker Punch,fast,dark,1.0,8,7,2,4.0,3.5,Multipurpose,
Gengar (Mega),Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Gengar (Mega),Lick,fast,ghost,1.2,3,3,1,3.0,3.0,General,elite
Gengar (Mega),Shadow Claw,fast,ghost,1.2,6,8,2,3.0,4.0,Multipurpose,
Gengar (Mega),Sucker Punch,fast,dark,1.0,8,7,2,4.0,3.5,Multipurpose,
Gengar (Shadow),Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Gengar (Shadow),Lick,fast,ghost,1.2,3,3,1,3.0,3.0,General,elite
Gengar (Shadow),Shadow Claw,fast,ghost,1.2,6,8,2,3.0,4.0,Multipurpose,
Gengar (Shadow),Sucker Punch,fast,dark,1.0,8,7,2,4.0,3.5,Multipurpose,
Geodude,Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Geodude,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Geodude (Alolan),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Geodude (Alolan),Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,Multipurpose,
Geodude (Alolan) (Shadow),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Geodude (Alolan) (Shadow),Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,Multipurpose,
Geodude (Shadow),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Geodude (Shadow),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Gholdengo,Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,Multipurpose,
Gholdengo,Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Gible,Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Gible,Take Down,fast,normal,1.0,5,8,3,1.67,2.67,Low Quality,
Gible (Shadow),Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Gible (Shadow),Take Down,fast,normal,1.0,5,8,3,1.67,2.67,Low Quality,
Gigalith,Mud Slap,fast,ground,1.0,12,10,3,4.0,3.33,Multipurpose,
Gigalith,Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,Heavy Damage,
Gigalith (Shadow),Mud Slap,fast,ground,1.0,12,10,3,4.0,3.33,Multipurpose,
Gigalith (Shadow),Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,Heavy Damage,
Gimmighoul,Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,Multipurpose,
Girafarig,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Girafarig,Double Kick,fast,fighting,1.0,8,12,3,2.67,4.0,Multipurpose,
Girafarig,Tackle,fast,normal,1.2,3,3,1,3.0,3.0,General,
Girafarig (Shadow),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Girafarig (Shadow),Double Kick,fast,fighting,1.0,8,12,3,2.67,4.0,Multipurpose,
Girafarig (Shadow),Tackle,fast,normal,1.2,3,3,1,3.0,3.0,General,
Giratina (Altered),Dragon Breath,fast,dragon,1.2,4,3,1,4.0,3.0,Multipurpose,
Giratina (Altered),Shadow Claw,fast,ghost,1.2,6,8,2,3.0,4.0,Multipurpose,
Giratina (Origin),Dragon Tail,fast,dragon,1.2,13,9,3,4.33,3.0,Multipurpose,
Giratina (Origin),Shadow Claw,fast,ghost,1.2,6,8,2,3.0,4.0,Multipurpose,
Glaceon,Frost Breath,fast,ice,1.2,7,5,2,3.5,2.5,Heavy Damage,
Glaceon,Ice Shard,fast,ice,1.2,9,10,3,3.0,3.33,General,
Glalie,Frost Breath,fast,ice,1.2,7,5,2,3.5,2.5,Heavy Damage,
Glalie,Ice Shard,fast,ice,1.2,9,10,3,3.0,3.33,General,
Glalie (Mega),Frost Breath,fast,ice,1.2,7,5,2,3.5,2.5,Heavy Damage,
Glalie (Mega),Ice Shard,fast,ice,1.2,9,10,3,3.0,3.33,General,
Glalie (Shadow),Frost Breath,fast,ice,1.2,7,5,2,3.5,2.5,Heavy Damage,
Glalie (Shadow),Ice Shard,fast,ice,1.2,9,10,3,3.0,3.33,General,
Glameow,Quick Attack,fast,normal,1.2,5,8,2,2.5,4.0,Fast Charge,
Glameow,Scratch,fast,normal,1.2,4,2,1,4.0,2.0,Heavy Damage,
Glameow (Shadow),Quick Attack,fast,normal,1.2,5,8,2,2.5,4.0,Fast Charge,
Glameow (Shadow),Scratch,fast,normal,1.2,4,2,1,4.0,2.0,Heavy Damage,
Glastrier,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Glastrier,Take Down,fast,normal,1.0,5,8,3,1.67,2.67,Low Quality,
Gligar,Fury Cutter,fast,bug,1.0,2,4,1,2.0,4.0,Fast Charge,
Gligar,Wing Attack,fast,flying,1.2,5,7,2,2.5,3.5,Fast Charge,
Gligar (Shadow),Fury Cutter,fast,bug,1.0,2,4,1,2.0,4.0,Fast Charge,
Gligar (Shadow),Wing Attack,fast,flying,1.2,5,7,2,2.5,3.5,Fast Charge,
Glimmet,Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Glimmet,Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,Heavy Damage,
Glimmora,Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Glimmora,Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,Heavy Damage,
Gliscor,Fury Cutter,fast,bug,1.0,2,4,1,2.0,4.0,Fast Charge,
Gliscor,Sand Attack,fast,ground,1.2,2,4,1,2.0,4.0,Fast Charge,
Gliscor,Wing Attack,fast,flying,1.2,5,7,2,2.5,3.5,Fast Charge,
Gliscor (Shadow),Fury Cutter,fast,bug,1.0,2,4,1,2.0,4.0,Fast Charge,
Gliscor (Shadow),Sand Attack,fast,ground,1.2,2,4,1,2.0,4.0,Fast Charge,
Gliscor (Shadow),Wing Attack,fast,flying,1.2,5,7,2,2.5,3.5,Fast Charge,
Gloom,Acid,fast,poison,1.2,6,5,2,3.0,2.5,Low Quality,
Gloom,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Gloom (Shadow),Acid,fast,poison,1.2,6,5,2,3.0,2.5,Low Quality,
Gloom (Shadow),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Gogoat,Rock Smash,fast,fighting,1.0,9,7,3,3.0,2.33,Low Quality,
Gogoat,Vine Whip,fast,grass,1.2,5,8,2,2.5,4.0,Fast Charge,
Gogoat,Zen Headbutt,fast,psychic,1.0,8,6,3,2.67,2.0,Low Quality,
Golbat,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Golbat,Wing Attack,fast,flying,1.2,5,7,2,2.5,3.5,Fast Charge,
Golbat (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Golbat (Shadow),Wing Attack,fast,flying,1.2,5,7,2,2.5,3.5,Fast Charge,
Goldeen,Mud Shot,fast,ground,1.0,4,8,2,2.0,4.0,Fast Charge,
Goldeen,Peck,fast,flying,1.0,6,5,2,3.0,2.5,Low Quality,
Golduck,Confusion,fast,psychic,1.0,16,12,4,4.0,3.0,Multipurpose,
Golduck,Water Gun,fast,water,1.2,3,3,1,3.0,3.0,General,
Golduck (Shadow),Confusion,fast,psychic,1.0,16,12,4,4.0,3.0,Multipurpose,
Golduck (Shadow),Water Gun,fast,water,1.2,3,3,1,3.0,3.0,General,
Golem,Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Golem,Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,Multipurpose,
Golem,Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Golem (Alolan),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Golem (Alolan),Rollout,fast,rock,1.2,8,13,3,2.67,4.33,Fast Charge,elite
Golem (Alolan),Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,Multipurpose,
Golem (Alolan) (Shadow),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Golem (Alolan) (Shadow),Rollout,fast,rock,1.2,8,13,3,2.67,4.33,Fast Charge,elite
Golem (Alolan) (Shadow),Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,Multipurpose,
Golem (Shadow),Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Golem (Shadow),Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,Multipurpose,
Golem (Shadow),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Golett,Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,Multipurpose,
Golett,Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,Multipurpose,
Golett (Shadow),Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,Multipurpose,
Golett (Shadow),Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,Multipurpose,
Golisopod,Fury Cutter,fast,bug,1.2,2,4,1,2.0,4.0,Fast Charge,
Golisopod,Metal Claw,fast,steel,1.0,5,7,2,2.5,3.5,General,
Golisopod,Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Golisopod,Waterfall,fast,water,1.2,12,8,3,4.0,2.67,Heavy Damage,
Golurk,Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,Multipurpose,
Golurk,Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,Multipurpose,
Golurk (Shadow),Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,Multipurpose,
Golurk (Shadow),Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,Multipurpose,
Goodra,Dragon Breath,fast,dragon,1.2,4,3,1,4.0,3.0,Multipurpose,
Goodra,Water Gun,fast,water,1.0,3,3,1,3.0,3.0,General,
Goomy,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Goomy,Water Gun,fast,water,1.0,3,3,1,3.0,3.0,General,
Gorebyss,Confusion,fast,psychic,1.0,16,12,4,4.0,3.0,Multipurpose,
Gorebyss,Water Gun,fast,water,1.2,3,3,1,3.0,3.0,General,
Gossifleur,Bullet Seed,fast,grass,1.2,5,13,3,1.67,4.33,Fast Charge,
Gossifleur,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Gothita,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Gothita,Pound,fast,normal,1.0,4,4,2,2.0,2.0,Low Quality,
Gothita (Shadow),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Gothita (Shadow),Pound,fast,normal,1.0,4,4,2,2.0,2.0,Low Quality,
Gothitelle,Charm,fast,fairy,1.0,15,6,3,5.0,2.0,Heavy Damage,
Gothitelle,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Gothitelle (Shadow),Charm,fast,fairy,1.0,15,6,3,5.0,2.0,Heavy Damage,
Gothitelle (Shadow),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Gothorita,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Gothorita,Pound,fast,normal,1.0,4,4,2,2.0,2.0,Low Quality,
Gothorita (Shadow),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Gothorita (Shadow),Pound,fast,normal,1.0,4,4,2,2.0,2.0,Low Quality,
Gourgeist (Average),Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Gourgeist (Average),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Gourgeist (Large),Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Gourgeist (Large),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Gourgeist (Small),Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Gourgeist (Small),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Gourgeist (Super),Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Gourgeist (Super),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Grafaiai,Mud Slap,fast,ground,1.0,12,10,3,4.0,3.33,Multipurpose,
Grafaiai,Poison Jab,fast,poison,1.2,7,7,2,3.5,3.5,General,
Granbull,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Granbull,Charm,fast,fairy,1.2,15,6,3,5.0,2.0,Heavy Damage,
Granbull,Snarl,fast,dark,1.0,5,13,3,1.67,4.33,Fast Charge,
Granbull (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Granbull (Shadow),Charm,fast,fairy,1.2,15,6,3,5.0,2.0,Heavy Damage,
Granbull (Shadow),Snarl,fast,dark,1.0,5,13,3,1.67,4.33,Fast Charge,
Grapploct,Rock Smash,fast,fighting,1.2,9,7,3,3.0,2.33,Low Quality,
Grapploct,Waterfall,fast,water,1.0,12,8,3,4.0,2.67,Heavy Damage,
Graveler,Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Graveler,Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,Multipurpose,
Graveler,Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Graveler (Alolan),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Graveler (Alolan),Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,Multipurpose,
Graveler (Alolan) (Shadow),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Graveler (Alolan) (Shadow),Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,Multipurpose,
Graveler (Shadow),Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Graveler (Shadow),Mud Slap,fast,ground,1.2,12,10,3,4.0,3.33,Multipurpose,
Graveler (Shadow),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Greattusk,Splash,fast,water,1.0,0,12,4,0.0,3.0,Low Quality,
Greavard,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Greavard,Lick,fast,ghost,1.2,3,3,1,3.0,3.0,General,
Greedent,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Greedent,Bullet Seed,fast,grass,1.0,5,13,3,1.67,4.33,Fast Charge,
Greedent,Mud Shot,fast,ground,1.0,4,8,2,2.0,4.0,Fast Charge,
Greedent,Tackle,fast,normal,1.2,3,3,1,3.0,3.0,General,
Greninja,Bubble,fast,water,1.2,8,11,3,2.67,3.67,Fast Charge,
Greninja,Feint Attack,fast,dark,1.2,6,6,2,3.0,3.0,General,
Greninja,Water Shuriken,fast,water,1.2,6,14,3,2.0,4.67,Fast Charge,
Grimer,Acid,fast,poison,1.2,6,5,2,3.0,2.5,Low Quality,legacy
Grimer,Mud Slap,fast,ground,1.0,12,10,3,4.0,3.33,Multipurpose,
Grimer,Poison Jab,fast,poison,1.2,7,7,2,3.5,3.5,General,
Grimer (Alolan),Acid,fast,poison,1.2,6,5,2,3.0,2.5,Low Quality,legacy
Grimer (Alolan),Bite,fast,dark,1.2,4,2,1,4.0,2.0,Heavy Damage,
Grimer (Alolan),Poison Jab,fast,poison,1.2,7,7,2,3.5,3.5,General,
Grimer (Alolan) (Shadow),Bite,fast,dark,1.2,4,2,1,4.0,2.0,Heavy Damage,
Grimer (Alolan) (Shadow),Poison Jab,fast,poison,1.2,7,7,2,3.5,3.5,General,
Grimer (Shadow),Mud Slap,fast,ground,1.0,12,10,3,4.0,3.33,Multipurpose,
Grimer (Shadow),Poison Jab,fast,poison,1.2,7,7,2,3.5,3.5,General,
Grimmsnarl,Bite,fast,dark,1.2,4,2,1,4.0,2.0,Heavy Damage,
Grimmsnarl,Low Kick,fast,fighting,1.0,4,5,2,2.0,2.5,Low Quality,
Grimmsnarl,Sucker Punch,fast,dark,1.2,8,7,2,4.0,3.5,Multipurpose,
Grookey,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Grookey,Scratch,fast,normal,1.0,4,2,1,4.0,2.0,Heavy Damage,
Grotle,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Grotle,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Grotle (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Grotle (Shadow),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Groudon,Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,
Groudon,Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Groudon (Primal),Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,
Groudon (Primal),Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Groudon (Shadow),Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,
Groudon (Shadow),Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Grovyle,Bullet Seed,fast,grass,1.2,5,13,3,1.67,4.33,Fast Charge,
Grovyle,Quick Attack,fast,normal,1.0,5,8,2,2.5,4.0,Fast Charge,
Grovyle (Shadow),Bullet Seed,fast,grass,1.2,5,13,3,1.67,4.33,Fast Charge,
Grovyle (Shadow),Quick Attack,fast,normal,1.0,5,8,2,2.5,4.0,Fast Charge,
Growlithe,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Growlithe,Ember,fast,fire,1.2,7,6,2,3.5,3.0,Heavy Damage,
Growlithe (Hisuian),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Growlithe (Hisuian),Ember,fast,fire,1.2,7,6,2,3.5,3.0,Heavy Damage,
Growlithe (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Growlithe (Shadow),Ember,fast,fire,1.2,7,6,2,3.5,3.0,Heavy Damage,
Grubbin,Bug Bite,fast,bug,1.2,3,3,1,3.0,3.0,General,
Grubbin,Spark,fast,electric,1.0,5,7,2,2.5,3.5,General,
Grumpig,Charge Beam,fast,electric,1.0,5,11,3,1.67,3.67,Fast Charge,
Grumpig,Extrasensory,fast,psychic,1.2,8,10,3,2.67,3.33,General,
Grumpig (Shadow),Charge Beam,fast,electric,1.0,5,11,3,1.67,3.67,Fast Charge,
Grumpig (Shadow),Extrasensory,fast,psychic,1.2,8,10,3,2.67,3.33,General,
Gulpin,Pound,fast,normal,1.0,4,4,2,2.0,2.0,Low Quality,
Gulpin,Rock Smash,fast,fighting,1.0,9,7,3,3.0,2.33,Low Quality,
Gumshoos,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Gumshoos,Take Down,fast,normal,1.2,5,8,3,1.67,2.67,Low Quality,
Gurdurr,Low Kick,fast,fighting,1.2,4,5,2,2.0,2.5,Low Quality,
Gurdurr,Poison Jab,fast,poison,1.0,7,7,2,3.5,3.5,General,
Gurdurr (Shadow),Low Kick,fast,fighting,1.2,4,5,2,2.0,2.5,Low Quality,
Gurdurr (Shadow),Poison Jab,fast,poison,1.0,7,7,2,3.5,3.5,General,
Guzzlord,Dragon Tail,fast,dragon,1.2,13,9,3,4.33,3.0,Multipurpose,
Guzzlord,Snarl,fast,dark,1.2,5,13,3,1.67,4.33,Fast Charge,
Gyarados,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Gyarados,Dragon Breath,fast,dragon,1.0,4,3,1,4.0,3.0,Multipurpose,
Gyarados,Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,elite
Gyarados,Waterfall,fast,water,1.2,12,8,3,4.0,2.67,Heavy Damage,
Gyarados (Mega),Bite,fast,dark,1.2,4,2,1,4.0,2.0,Heavy Damage,
Gyarados (Mega),Dragon Breath,fast,dragon,1.0,4,3,1,4.0,3.0,Multipurpose,
Gyarados (Mega),Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,elite
Gyarados (Mega),Waterfall,fast,water,1.2,12,8,3,4.0,2.67,Heavy Damage,
Gyarados (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Gyarados (Shadow),Dragon Breath,fast,dragon,1.0,4,3,1,4.0,3.0,Multipurpose,
Gyarados (Shadow),Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,elite
Gyarados (Shadow),Waterfall,fast,water,1.2,12,8,3,4.0,2.67,Heavy Damage,
Hakamo-o,Dragon Tail,fast,dragon,1.2,13,9,3,4.33,3.0,Multipurpose,
Hakamo-o,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Happiny,Pound,fast,normal,1.2,4,4,2,2.0,2.0,Low Quality,
Happiny,Zen Headbutt,fast,psychic,1.0,8,6,3,2.67,2.0,Low Quality,
Hariyama,Bullet Punch,fast,steel,1.0,6,7,2,3.0,3.5,General,
Hariyama,Counter,fast,fighting,1.2,8,6,2,4.0,3.0,Multipurpose,
Hariyama,Force Palm,fast,fighting,1.2,13,10,3,4.33,3.33,Multipurpose,
Hariyama (Shadow),Bullet Punch,fast,steel,1.0,6,7,2,3.0,3.5,General,
Hariyama (Shadow),Counter,fast,fighting,1.2,8,6,2,4.0,3.0,Multipurpose,
Hariyama (Shadow),Force Palm,fast,fighting,1.2,13,10,3,4.33,3.33,Multipurpose,
Hatenna,Charm,fast,fairy,1.0,15,6,3,5.0,2.0,Heavy Damage,
Hatenna,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Hatterene,Charm,fast,fairy,1.2,15,6,3,5.0,2.0,Heavy Damage,
Hatterene,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Hatterene,Psycho Cut,fast,psychic,1.2,3,9,2,1.5,4.5,Fast Charge,
Hattrem,Charm,fast,fairy,1.0,15,6,3,5.0,2.0,Heavy Damage,
Hattrem,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Haunter,Astonish,fast,ghost,1.2,12,10,3,4.0,3.33,Multipurpose,
