pokemon,attacking_type,multiplier
Magneton (Shadow),ground,2.56
Magneton (Shadow),rock,0.625
Magneton (Shadow),bug,0.625
Magneton (Shadow),ghost,1.0
Magneton (Shadow),steel,0.391
Magneton (Shadow),fire,1.6
Magneton (Shadow),water,1.0
Magneton (Shadow),grass,0.625
Magneton (Shadow),electric,0.625
Magneton (Shadow),psychic,0.625
Magneton (Shadow),ice,0.625
Magneton (Shadow),dragon,0.625
Magneton (Shadow),dark,1.0
Magneton (Shadow),fairy,0.625
Farfetch'd,normal,1.0
Farfetch'd,fighting,1.0
Farfetch'd,flying,1.0
Farfetch'd,poison,1.0
Farfetch'd,ground,0.391
Farfetch'd,rock,1.6
Farfetch'd,bug,1.0
Farfetch'd,ghost,0.391
Farfetch'd,steel,1.0
Farfetch'd,fire,1.0
Farfetch'd,water,1.0
Farfetch'd,grass,0.625
Farfetch'd,electric,1.6
Farfetch'd,psychic,1.0
Farfetch'd,ice,1.6
Farfetch'd,dragon,1.0
Farfetch'd,dark,1.0
Farfetch'd,fairy,1.0
Farfetch'd (Galarian),normal,1.0
Farfetch'd (Galarian),fighting,1.0
Farfetch'd (Galarian),flying,1.6
Farfetch'd (Galarian),poison,1.0
Farfetch'd (Galarian),ground,1.0
Farfetch'd (Galarian),rock,0.625
Farfetch'd (Galarian),bug,0.625
Farfetch'd (Galarian),ghost,1.0
Farfetch'd (Galarian),steel,1.0
Farfetch'd (Galarian),fire,1.0
Farfetch'd (Galarian),water,1.0
Farfetch'd (Galarian),grass,1.0
Farfetch'd (Galarian),electric,1.0
Farfetch'd (Galarian),psychic,1.6
Farfetch'd (Galarian),ice,1.0
Farfetch'd (Galarian),dragon,1.0
Farfetch'd (Galarian),dark,0.625
Farfetch'd (Galarian),fairy,1.6
Doduo,normal,1.0
Doduo,fighting,1.0
Doduo,flying,1.0
Doduo,poison,1.0
Doduo,ground,0.391
Doduo,rock,1.6
Doduo,bug,1.0
Doduo,ghost,0.391
Doduo,steel,1.0
Doduo,fire,1.0
Doduo,water,1.0
Doduo,grass,0.625
Doduo,electric,1.6
Doduo,psychic,1.0
Doduo,ice,1.6
Doduo,dragon,1.0
Doduo,dark,1.0
Doduo,fairy,1.0
Dodrio,normal,1.0
Dodrio,fighting,1.0
Dodrio,flying,1.0
Dodrio,poison,1.0
Dodrio,ground,0.391
Dodrio,rock,1.6
Dodrio,bug,1.0
Dodrio,ghost,0.391
Dodrio,steel,1.0
Dodrio,fire,1.0
Dodrio,water,1.0
Dodrio,grass,0.625
Dodrio,electric,1.6
Dodrio,psychic,1.0
Dodrio,ice,1.6
Dodrio,dragon,1.0
Dodrio,dark,1.0
Dodrio,fairy,1.0
Seel,normal,1.0
Seel,fighting,1.0
Seel,flying,1.0
Seel,poison,1.0
Seel,ground,1.0
Seel,rock,1.0
Seel,bug,1.0
Seel,ghost,1.0
Seel,steel,0.625
Seel,fire,0.625
Seel,water,0.625
Seel,grass,1.6
Seel,electric,1.6
Seel,psychic,1.0
Seel,ice,0.625
Seel,dragon,1.0
Seel,dark,1.0
Seel,fairy,1.0
Dewgong,normal,1.0
Dewgong,fighting,1.6
Dewgong,flying,1.0
Dewgong,poison,1.0
Dewgong,ground,1.0
Dewgong,rock,1.6
Dewgong,bug,1.0
Dewgong,ghost,1.0
Dewgong,steel,1.0
Dewgong,fire,1.0
Dewgong,water,0.625
Dewgong,grass,1.6
Dewgong,electric,1.6
Dewgong,psychic,1.0
Dewgong,ice,0.391
Dewgong,dragon,1.0
Dewgong,dark,1.0
Dewgong,fairy,1.0
Grimer,normal,1.0
Grimer,fighting,0.625
Grimer,flying,1.0
Grimer,poison,0.625
Grimer,ground,1.6
Grimer,rock,1.0
Grimer,bug,0.625
Grimer,ghost,1.0
Grimer,steel,1.0
Grimer,fire,1.0
Grimer,water,1.0
Grimer,grass,0.625
Grimer,electric,1.0
Grimer,psychic,1.6
Grimer,ice,1.0
Grimer,dragon,1.0
Grimer,dark,1.0
Grimer,fairy,0.625
Grimer (Alolan),normal,1.0
Grimer (Alolan),fighting,1.0
Grimer (Alolan),flying,1.0
Grimer (Alolan),poison,0.625
Grimer (Alolan),ground,1.6
Grimer (Alolan),rock,1.0
Grimer (Alolan),bug,1.0
Grimer (Alolan),ghost,0.625
Grimer (Alolan),steel,1.0
Grimer (Alolan),fire,1.0
Grimer (Alolan),water,1.0
Grimer (Alolan),grass,0.625
Grimer (Alolan),electric,1.0
Grimer (Alolan),psychic,0.625
Grimer (Alolan),ice,1.0
Grimer (Alolan),dragon,1.0
Grimer (Alolan),dark,0.625
Grimer (Alolan),fairy,1.0
Grimer (Alolan) (Shadow),normal,1.0
Grimer (Alolan) (Shadow),fighting,1.0
Grimer (Alolan) (Shadow),flying,1.0
Grimer (Alolan) (Shadow),poison,0.625
Grimer (Alolan) (Shadow),ground,1.6
Grimer (Alolan) (Shadow),rock,1.0
Grimer (Alolan) (Shadow),bug,1.0
Grimer (Alolan) (Shadow),ghost,0.625
Grimer (Alolan) (Shadow),steel,1.0
Grimer (Alolan) (Shadow),fire,1.0
Grimer (Alolan) (Shadow),water,1.0
Grimer (Alolan) (Shadow),grass,0.625
Grimer (Alolan) (Shadow),electric,1.0
Grimer (Alolan) (Shadow),psychic,0.625
Grimer (Alolan) (Shadow),ice,1.0
Grimer (Alolan) (Shadow),dragon,1.0
Grimer (Alolan) (Shadow),dark,0.625
Grimer (Alolan) (Shadow),fairy,1.0
Grimer (Shadow),normal,1.0
Grimer (Shadow),fighting,0.625
Grimer (Shadow),flying,1.0
Grimer (Shadow),poison,0.625
Grimer (Shadow),ground,1.6
Grimer (Shadow),rock,1.0
Grimer (Shadow),bug,0.625
Grimer (Shadow),ghost,1.0
Grimer (Shadow),steel,1.0
Grimer (Shadow),fire,1.0
Grimer (Shadow),water,1.0
Grimer (Shadow),grass,0.625
Grimer (Shadow),electric,1.0
Grimer (Shadow),psychic,1.6
Grimer (Shadow),ice,1.0
Grimer (Shadow),dragon,1.0
Grimer (Shadow),dark,1.0
Grimer (Shadow),fairy,0.625
Muk,normal,1.0
Muk,fighting,0.625
Muk,flying,1.0
Muk,poison,0.625
Muk,ground,1.6
Muk,rock,1.0
Muk,bug,0.625
Muk,ghost,1.0
Muk,steel,1.0
Muk,fire,1.0
Muk,water,1.0
Muk,grass,0.625
Muk,electric,1.0
Muk,psychic,1.6
Muk,ice,1.0
Muk,dragon,1.0
Muk,dark,1.0
Muk,fairy,0.625
Muk (Alolan),normal,1.0
Muk (Alolan),fighting,1.0
Muk (Alolan),flying,1.0
Muk (Alolan),poison,0.625
Muk (Alolan),ground,1.6
Muk (Alolan),rock,1.0
Muk (Alolan),bug,1.0
Muk (Alolan),ghost,0.625
Muk (Alolan),steel,1.0
Muk (Alolan),fire,1.0
Muk (Alolan),water,1.0
Muk (Alolan),grass,0.625
Muk (Alolan),electric,1.0
Muk (Alolan),psychic,0.625
Muk (Alolan),ice,1.0
Muk (Alolan),dragon,1.0
Muk (Alolan),dark,0.625
Muk (Alolan),fairy,1.0
Muk (Alolan) (Shadow),normal,1.0
Muk (Alolan) (Shadow),fighting,1.0
Muk (Alolan) (Shadow),flying,1.0
Muk (Alolan) (Shadow),poison,0.625
Muk (Alolan) (Shadow),ground,1.6
Muk (Alolan) (Shadow),rock,1.0
Muk (Alolan) (Shadow),bug,1.0
Muk (Alolan) (Shadow),ghost,0.625
Muk (Alolan) (Shadow),steel,1.0
Muk (Alolan) (Shadow),fire,1.0
Muk (Alolan) (Shadow),water,1.0
Muk (Alolan) (Shadow),grass,0.625
Muk (Alolan) (Shadow),electric,1.0
Muk (Alolan) (Shadow),psychic,0.625
Muk (Alolan) (Shadow),ice,1.0
Muk (Alolan) (Shadow),dragon,1.0
Muk (Alolan) (Shadow),dark,0.625
Muk (Alolan) (Shadow),fairy,1.0
Muk (Shadow),normal,1.0
Muk (Shadow),fighting,0.625
Muk (Shadow),flying,1.0
Muk (Shadow),poison,0.625
Muk (Shadow),ground,1.6
Muk (Shadow),rock,1.0
Muk (Shadow),bug,0.625
Muk (Shadow),ghost,1.0
Muk (Shadow),steel,1.0
Muk (Shadow),fire,1.0
Muk (Shadow),water,1.0
Muk (Shadow),grass,0.625
Muk (Shadow),electric,1.0
Muk (Shadow),psychic,1.6
Muk (Shadow),ice,1.0
Muk (Shadow),dragon,1.0
Muk (Shadow),dark,1.0
Muk (Shadow),fairy,0.625
Shellder,normal,1.0
Shellder,fighting,1.0
Shellder,flying,1.0
Shellder,poison,1.0
Shellder,ground,1.0
Shellder,rock,1.0
Shellder,bug,1.0
Shellder,ghost,1.0
Shellder,steel,0.625
Shellder,fire,0.625
Shellder,water,0.625
Shellder,grass,1.6
Shellder,electric,1.6
Shellder,psychic,1.0
Shellder,ice,0.625
Shellder,dragon,1.0
Shellder,dark,1.0
Shellder,fairy,1.0
Shellder (Shadow),normal,1.0
Shellder (Shadow),fighting,1.0
Shellder (Shadow),flying,1.0
Shellder (Shadow),poison,1.0
Shellder (Shadow),ground,1.0
Shellder (Shadow),rock,1.0
Shellder (Shadow),bug,1.0
Shellder (Shadow),ghost,1.0
Shellder (Shadow),steel,0.625
Shellder (Shadow),fire,0.625
Shellder (Shadow),water,0.625
Shellder (Shadow),grass,1.6
Shellder (Shadow),electric,1.6
Shellder (Shadow),psychic,1.0
Shellder (Shadow),ice,0.625
Shellder (Shadow),dragon,1.0
Shellder (Shadow),dark,1.0
Shellder (Shadow),fairy,1.0
Cloyster,normal,1.0
Cloyster,fighting,1.6
Cloyster,flying,1.0
Cloyster,poison,1.0
Cloyster,ground,1.0
Cloyster,rock,1.6
Cloyster,bug,1.0
Cloyster,ghost,1.0
Cloyster,steel,1.0
Cloyster,fire,1.0
Cloyster,water,0.625
Cloyster,grass,1.6
Cloyster,electric,1.6
Cloyster,psychic,1.0
Cloyster,ice,0.391
Cloyster,dragon,1.0
Cloyster,dark,1.0
Cloyster,fairy,1.0
Cloyster (Shadow),normal,1.0
Cloyster (Shadow),fighting,1.6
Cloyster (Shadow),flying,1.0
Cloyster (Shadow),poison,1.0
Cloyster (Shadow),ground,1.0
Cloyster (Shadow),rock,1.6
Cloyster (Shadow),bug,1.0
Cloyster (Shadow),ghost,1.0
Cloyster (Shadow),steel,1.0
Cloyster (Shadow),fire,1.0
Cloyster (Shadow),water,0.625
Cloyster (Shadow),grass,1.6
Cloyster (Shadow),electric,1.6
Cloyster (Shadow),psychic,1.0
Cloyster (Shadow),ice,0.391
Cloyster (Shadow),dragon,1.0
Cloyster (Shadow),dark,1.0
Cloyster (Shadow),fairy,1.0
Gastly,normal,0.391
Gastly,fighting,0.244
Gastly,flying,1.0
Gastly,poison,0.391
Gastly,ground,1.6
Gastly,rock,1.0
Gastly,bug,0.391
Gastly,ghost,1.6
Gastly,steel,1.0
Gastly,fire,1.0
Gastly,water,1.0
Gastly,grass,0.625
Gastly,electric,1.0
Gastly,psychic,1.6
Gastly,ice,1.0
Gastly,dragon,1.0
Gastly,dark,1.6
Gastly,fairy,0.625
Gastly (Shadow),normal,0.391
Gastly (Shadow),fighting,0.244
Gastly (Shadow),flying,1.0
Gastly (Shadow),poison,0.391
Gastly (Shadow),ground,1.6
Gastly (Shadow),rock,1.0
Gastly (Shadow),bug,0.391
Gastly (Shadow),ghost,1.6
Gastly (Shadow),steel,1.0
Gastly (Shadow),fire,1.0
Gastly (Shadow),water,1.0
Gastly (Shadow),grass,0.625
Gastly (Shadow),electric,1.0
Gastly (Shadow),psychic,1.6
Gastly (Shadow),ice,1.0
Gastly (Shadow),dragon,1.0
Gastly (Shadow),dark,1.6
Gastly (Shadow),fairy,0.625
Haunter,normal,0.391
Haunter,fighting,0.244
Haunter,flying,1.0
Haunter,poison,0.391
Haunter,ground,1.6
Haunter,rock,1.0
Haunter,bug,0.391
Haunter,ghost,1.6
Haunter,steel,1.0
Haunter,fire,1.0
Haunter,water,1.0
Haunter,grass,0.625
Haunter,electric,1.0
Haunter,psychic,1.6
Haunter,ice,1.0
Haunter,dragon,1.0
Haunter,dark,1.6
Haunter,fairy,0.625
Haunter (Shadow),normal,0.391
Haunter (Shadow),fighting,0.244
Haunter (Shadow),flying,1.0
Haunter (Shadow),poison,0.391
Haunter (Shadow),ground,1.6
Haunter (Shadow),rock,1.0
Haunter (Shadow),bug,0.391
Haunter (Shadow),ghost,1.6
Haunter (Shadow),steel,1.0
Haunter (Shadow),fire,1.0
Haunter (Shadow),water,1.0
Haunter (Shadow),grass,0.625
Haunter (Shadow),electric,1.0
Haunter (Shadow),psychic,1.6
Haunter (Shadow),ice,1.0
Haunter (Shadow),dragon,1.0
Haunter (Shadow),dark,1.6
Haunter (Shadow),fairy,0.625
Gengar,normal,0.391
Gengar,fighting,0.244
Gengar,flying,1.0
Gengar,poison,0.391
Gengar,ground,1.6
Gengar,rock,1.0
Gengar,bug,0.391
Gengar,ghost,1.6
Gengar,steel,1.0
Gengar,fire,1.0
Gengar,water,1.0
Gengar,grass,0.625
Gengar,electric,1.0
Gengar,psychic,1.6
Gengar,ice,1.0
Gengar,dragon,1.0
Gengar,dark,1.6
Gengar,fairy,0.625
Gengar (Mega),normal,0.391
Gengar (Mega),fighting,0.244
Gengar (Mega),flying,1.0
Gengar (Mega),poison,0.391
Gengar (Mega),ground,1.6
Gengar (Mega),rock,1.0
Gengar (Mega),bug,0.391
Gengar (Mega),ghost,1.6
Gengar (Mega),steel,1.0
Gengar (Mega),fire,1.0
Gengar (Mega),water,1.0
Gengar (Mega),grass,0.625
Gengar (Mega),electric,1.0
Gengar (Mega),psychic,1.6
Gengar (Mega),ice,1.0
Gengar (Mega),dragon,1.0
Gengar (Mega),dark,1.6
Gengar (Mega),fairy,0.625
Gengar (Shadow),normal,0.391
Gengar (Shadow),fighting,0.244
Gengar (Shadow),flying,1.0
Gengar (Shadow),poison,0.391
Gengar (Shadow),ground,1.6
Gengar (Shadow),rock,1.0
Gengar (Shadow),bug,0.391
Gengar (Shadow),ghost,1.6
Gengar (Shadow),steel,1.0
Gengar (Shadow),fire,1.0
Gengar (Shadow),water,1.0
Gengar (Shadow),grass,0.625
Gengar (Shadow),electric,1.0
Gengar (Shadow),psychic,1.6
Gengar (Shadow),ice,1.0
Gengar (Shadow),dragon,1.0
Gengar (Shadow),dark,1.6
Gengar (Shadow),fairy,0.625
Onix,normal,0.625
Onix,fighting,1.6
Onix,flying,0.625
Onix,poison,0.391
Onix,ground,1.6
Onix,rock,0.625
Onix,bug,1.0
Onix,ghost,1.0
Onix,steel,1.6
Onix,fire,0.625
Onix,water,2.56
Onix,grass,2.56
Onix,electric,0.391
Onix,psychic,1.0
Onix,ice,1.6
Onix,dragon,1.0
Onix,dark,1.0
Onix,fairy,1.0
Onix (Shadow),normal,0.625
Onix (Shadow),fighting,1.6
Onix (Shadow),flying,0.625
Onix (Shadow),poison,0.391
Onix (Shadow),ground,1.6
Onix (Shadow),rock,0.625
Onix (Shadow),bug,1.0
Onix (Shadow),ghost,1.0
Onix (Shadow),steel,1.6
Onix (Shadow),fire,0.625
Onix (Shadow),water,2.56
Onix (Shadow),grass,2.56
Onix (Shadow),electric,0.391
Onix (Shadow),psychic,1.0
Onix (Shadow),ice,1.6
Onix (Shadow),dragon,1.0
Onix (Shadow),dark,1.0
Onix (Shadow),fairy,1.0
Drowzee,normal,1.0
Drowzee,fighting,0.625
Drowzee,flying,1.0
Drowzee,poison,1.0
Drowzee,ground,1.0
Drowzee,rock,1.0
Drowzee,bug,1.6
Drowzee,ghost,1.6
Drowzee,steel,1.0
Drowzee,fire,1.0
Drowzee,water,1.0
Drowzee,grass,1.0
Drowzee,electric,1.0
Drowzee,psychic,0.625
Drowzee,ice,1.0
Drowzee,dragon,1.0
Drowzee,dark,1.6
Drowzee,fairy,1.0
Drowzee (Shadow),normal,1.0
Drowzee (Shadow),fighting,0.625
Drowzee (Shadow),flying,1.0
Drowzee (Shadow),poison,1.0
Drowzee (Shadow),ground,1.0
Drowzee (Shadow),rock,1.0
Drowzee (Shadow),bug,1.6
Drowzee (Shadow),ghost,1.6
Drowzee (Shadow),steel,1.0
Drowzee (Shadow),fire,1.0
Drowzee (Shadow),water,1.0
Drowzee (Shadow),grass,1.0
Drowzee (Shadow),electric,1.0
Drowzee (Shadow),psychic,0.625
Drowzee (Shadow),ice,1.0
Drowzee (Shadow),dragon,1.0
Drowzee (Shadow),dark,1.6
Drowzee (Shadow),fairy,1.0
Hypno,normal,1.0
Hypno,fighting,0.625
Hypno,flying,1.0
Hypno,poison,1.0
Hypno,ground,1.0
Hypno,rock,1.0
Hypno,bug,1.6
Hypno,ghost,1.6
Hypno,steel,1.0
Hypno,fire,1.0
Hypno,water,1.0
Hypno,grass,1.0
Hypno,electric,1.0
Hypno,psychic,0.625
Hypno,ice,1.0
Hypno,dragon,1.0
Hypno,dark,1.6
Hypno,fairy,1.0
Hypno (Shadow),normal,1.0
Hypno (Shadow),fighting,0.625
Hypno (Shadow),flying,1.0
Hypno (Shadow),poison,1.0
Hypno (Shadow),ground,1.0
Hypno (Shadow),rock,1.0
Hypno (Shadow),bug,1.6
Hypno (Shadow),ghost,1.6
Hypno (Shadow),steel,1.0
Hypno (Shadow),fire,1.0
Hypno (Shadow),water,1.0
Hypno (Shadow),grass,1.0
Hypno (Shadow),electric,1.0
Hypno (Shadow),psychic,0.625
Hypno (Shadow),ice,1.0
Hypno (Shadow),dragon,1.0
Hypno (Shadow),dark,1.6
Hypno (Shadow),fairy,1.0
Krabby,normal,1.0
Krabby,fighting,1.0
Krabby,flying,1.0
Krabby,poison,1.0
Krabby,ground,1.0
Krabby,rock,1.0
Krabby,bug,1.0
Krabby,ghost,1.0
Krabby,steel,0.625
Krabby,fire,0.625
Krabby,water,0.625
Krabby,grass,1.6
Krabby,electric,1.6
Krabby,psychic,1.0
Krabby,ice,0.625
Krabby,dragon,1.0
Krabby,dark,1.0
Krabby,fairy,1.0
Kingler,normal,1.0
Kingler,fighting,1.0
Kingler,flying,1.0
Kingler,poison,1.0
Kingler,ground,1.0
Kingler,rock,1.0
Kingler,bug,1.0
Kingler,ghost,1.0
Kingler,steel,0.625
Kingler,fire,0.625
Kingler,water,0.625
Kingler,grass,1.6
Kingler,electric,1.6
Kingler,psychic,1.0
Kingler,ice,0.625
Kingler,dragon,1.0
Kingler,dark,1.0
Kingler,fairy,1.0
Voltorb,normal,1.0
Voltorb,fighting,1.0
Voltorb,flying,0.625
Voltorb,poison,1.0
Voltorb,ground,1.6
Voltorb,rock,1.0
Voltorb,bug,1.0
Voltorb,ghost,1.0
Voltorb,steel,0.625
Voltorb,fire,1.0
Voltorb,water,1.0
Voltorb,grass,1.0
Voltorb,electric,0.625
Voltorb,psychic,1.0
Voltorb,ice,1.0
Voltorb,dragon,1.0
Voltorb,dark,1.0
Voltorb,fairy,1.0
Voltorb (Hisuian),normal,1.0
Voltorb (Hisuian),fighting,1.0
Voltorb (Hisuian),flying,1.0
Voltorb (Hisuian),poison,1.6
Voltorb (Hisuian),ground,1.0
Voltorb (Hisuian),rock,1.0
Voltorb (Hisuian),bug,1.6
Voltorb (Hisuian),ghost,1.0
Voltorb (Hisuian),steel,0.625
Voltorb (Hisuian),fire,1.6
Voltorb (Hisuian),water,0.625
Voltorb (Hisuian),grass,0.625
Voltorb (Hisuian),electric,0.391
Voltorb (Hisuian),psychic,1.0
Voltorb (Hisuian),ice,1.6
Voltorb (Hisuian),dragon,1.0
Voltorb (Hisuian),dark,1.0
Voltorb (Hisuian),fairy,1.0
Voltorb (Shadow),normal,1.0
Voltorb (Shadow),fighting,1.0
Voltorb (Shadow),flying,0.625
Voltorb (Shadow),poison,1.0
Voltorb (Shadow),ground,1.6
Voltorb (Shadow),rock,1.0
Voltorb (Shadow),bug,1.0
Voltorb (Shadow),ghost,1.0
Voltorb (Shadow),steel,0.625
Voltorb (Shadow),fire,1.0
Voltorb (Shadow),water,1.0
Voltorb (Shadow),grass,1.0
Voltorb (Shadow),electric,0.625
Voltorb (Shadow),psychic,1.0
Voltorb (Shadow),ice,1.0
Voltorb (Shadow),dragon,1.0
Voltorb (Shadow),dark,1.0
Voltorb (Shadow),fairy,1.0
Electrode,normal,1.0
Electrode,fighting,1.0
Electrode,flying,0.625
Electrode,poison,1.0
Electrode,ground,1.6
Electrode,rock,1.0
Electrode,bug,1.0
Electrode,ghost,1.0
Electrode,steel,0.625
Electrode,fire,1.0
Electrode,water,1.0
Electrode,grass,1.0
Electrode,electric,0.625
Electrode,psychic,1.0
Electrode,ice,1.0
Electrode,dragon,1.0
Electrode,dark,1.0
Electrode,fairy,1.0
Electrode (Hisuian),normal,1.0
Electrode (Hisuian),fighting,1.0
Electrode (Hisuian),flying,1.0
Electrode (Hisuian),poison,1.6
Electrode (Hisuian),ground,1.0
Electrode (Hisuian),rock,1.0
Electrode (Hisuian),bug,1.6
Electrode (Hisuian),ghost,1.0
Electrode (Hisuian),steel,0.625
Electrode (Hisuian),fire,1.6
Electrode (Hisuian),water,0.625
Electrode (Hisuian),grass,0.625
Electrode (Hisuian),electric,0.391
Electrode (Hisuian),psychic,1.0
Electrode (Hisuian),ice,1.6
Electrode (Hisuian),dragon,1.0
Electrode (Hisuian),dark,1.0
Electrode (Hisuian),fairy,1.0
Electrode (Shadow),normal,1.0
Electrode (Shadow),fighting,1.0
Electrode (Shadow),flying,0.625
Electrode (Shadow),poison,1.0
Electrode (Shadow),ground,1.6
Electrode (Shadow),rock,1.0
Electrode (Shadow),bug,1.0
Electrode (Shadow),ghost,1.0
Electrode (Shadow),steel,0.625
Electrode (Shadow),fire,1.0
Electrode (Shadow),water,1.0
Electrode (Shadow),grass,1.0
Electrode (Shadow),electric,0.625
Electrode (Shadow),psychic,1.0
Electrode (Shadow),ice,1.0
Electrode (Shadow),dragon,1.0
Electrode (Shadow),dark,1.0
Electrode (Shadow),fairy,1.0
Exeggcute,normal,1.0
Exeggcute,fighting,0.625
Exeggcute,flying,1.6
Exeggcute,poison,1.6
Exeggcute,ground,0.625
Exeggcute,rock,1.0
Exeggcute,bug,2.56
Exeggcute,ghost,1.6
Exeggcute,steel,1.0
Exeggcute,fire,1.6
Exeggcute,water,0.625
Exeggcute,grass,0.625
Exeggcute,electric,0.625
Exeggcute,psychic,0.625
Exeggcute,ice,1.6
Exeggcute,dragon,1.0
Exeggcute,dark,1.6
Exeggcute,fairy,1.0
Exeggcute (Shadow),normal,1.0
Exeggcute (Shadow),fighting,0.625
Exeggcute (Shadow),flying,1.6
Exeggcute (Shadow),poison,1.6
Exeggcute (Shadow),ground,0.625
Exeggcute (Shadow),rock,1.0
Exeggcute (Shadow),bug,2.56
Exeggcute (Shadow),ghost,1.6
Exeggcute (Shadow),steel,1.0
Exeggcute (Shadow),fire,1.6
Exeggcute (Shadow),water,0.625
Exeggcute (Shadow),grass,0.625
Exeggcute (Shadow),electric,0.625
Exeggcute (Shadow),psychic,0.625
Exeggcute (Shadow),ice,1.6
Exeggcute (Shadow),dragon,1.0
Exeggcute (Shadow),dark,1.6
Exeggcute (Shadow),fairy,1.0
Exeggutor,normal,1.0
Exeggutor,fighting,0.625
Exeggutor,flying,1.6
Exeggutor,poison,1.6
Exeggutor,ground,0.625
Exeggutor,rock,1.0
Exeggutor,bug,2.56
Exeggutor,ghost,1.6
Exeggutor,steel,1.0
Exeggutor,fire,1.6
Exeggutor,water,0.625
Exeggutor,grass,0.625
Exeggutor,electric,0.625
Exeggutor,psychic,0.625
Exeggutor,ice,1.6
Exeggutor,dragon,1.0
Exeggutor,dark,1.6
Exeggutor,fairy,1.0
Exeggutor (Alolan),normal,1.0
Exeggutor (Alolan),fighting,1.0
Exeggutor (Alolan),flying,1.6
Exeggutor (Alolan),poison,1.6
Exeggutor (Alolan),ground,0.625
Exeggutor (Alolan),rock,1.0
Exeggutor (Alolan),bug,1.6
Exeggutor (Alolan),ghost,1.0
Exeggutor (Alolan),steel,1.0
Exeggutor (Alolan),fire,1.0
Exeggutor (Alolan),water,0.391
Exeggutor (Alolan),grass,0.391
Exeggutor (Alolan),electric,0.391
Exeggutor (Alolan),psychic,1.0
Exeggutor (Alolan),ice,2.56
Exeggutor (Alolan),dragon,1.6
Exeggutor (Alolan),dark,1.0
Exeggutor (Alolan),fairy,1.6
Exeggutor (Alolan) (Shadow),normal,1.0
Exeggutor (Alolan) (Shadow),fighting,1.0
Exeggutor (Alolan) (Shadow),flying,1.6
Exeggutor (Alolan) (Shadow),poison,1.6
Exeggutor (Alolan) (Shadow),ground,0.625
Exeggutor (Alolan) (Shadow),rock,1.0
Exeggutor (Alolan) (Shadow),bug,1.6
Exeggutor (Alolan) (Shadow),ghost,1.0
Exeggutor (Alolan) (Shadow),steel,1.0
Exeggutor (Alolan) (Shadow),fire,1.0
Exeggutor (Alolan) (Shadow),water,0.391
Exeggutor (Alolan) (Shadow),grass,0.391
Exeggutor (Alolan) (Shadow),electric,0.391
Exeggutor (Alolan) (Shadow),psychic,1.0
Exeggutor (Alolan) (Shadow),ice,2.56
Exeggutor (Alolan) (Shadow),dragon,1.6
Exeggutor (Alolan) (Shadow),dark,1.0
Exeggutor (Alolan) (Shadow),fairy,1.6
Exeggutor (Shadow),normal,1.0
Exeggutor (Shadow),fighting,0.625
Exeggutor (Shadow),flying,1.6
Exeggutor (Shadow),poison,1.6
Exeggutor (Shadow),ground,0.625
Exeggutor (Shadow),rock,1.0
Exeggutor (Shadow),bug,2.56
Exeggutor (Shadow),ghost,1.6
Exeggutor (Shadow),steel,1.0
Exeggutor (Shadow),fire,1.6
Exeggutor (Shadow),water,0.625
Exeggutor (Shadow),grass,0.625
Exeggutor (Shadow),electric,0.625
Exeggutor (Shadow),psychic,0.625
Exeggutor (Shadow),ice,1.6
Exeggutor (Shadow),dragon,1.0
Exeggutor (Shadow),dark,1.6
Exeggutor (Shadow),fairy,1.0
Cubone,normal,1.0
Cubone,fighting,1.0
Cubone,flying,1.0
Cubone,poison,0.625
Cubone,ground,1.0
Cubone,rock,0.625
Cubone,bug,1.0
Cubone,ghost,1.0
Cubone,steel,1.0
Cubone,fire,1.0
Cubone,water,1.6
Cubone,grass,1.6
Cubone,electric,0.391
Cubone,psychic,1.0
Cubone,ice,1.6
Cubone,dragon,1.0
Cubone,dark,1.0
Cubone,fairy,1.0
Cubone (Shadow),normal,1.0
Cubone (Shadow),fighting,1.0
Cubone (Shadow),flying,1.0
Cubone (Shadow),poison,0.625
Cubone (Shadow),ground,1.0
Cubone (Shadow),rock,0.625
Cubone (Shadow),bug,1.0
Cubone (Shadow),ghost,1.0
Cubone (Shadow),steel,1.0
Cubone (Shadow),fire,1.0
Cubone (Shadow),water,1.6
Cubone (Shadow),grass,1.6
Cubone (Shadow),electric,0.391
Cubone (Shadow),psychic,1.0
Cubone (Shadow),ice,1.6
Cubone (Shadow),dragon,1.0
Cubone (Shadow),dark,1.0
Cubone (Shadow),fairy,1.0
Marowak,normal,1.0
Marowak,fighting,1.0
Marowak,flying,1.0
Marowak,poison,0.625
Marowak,ground,1.0
Marowak,rock,0.625
Marowak,bug,1.0
Marowak,ghost,1.0
Marowak,steel,1.0
Marowak,fire,1.0
Marowak,water,1.6
Marowak,grass,1.6
Marowak,electric,0.391
Marowak,psychic,1.0
Marowak,ice,1.6
Marowak,dragon,1.0
Marowak,dark,1.0
Marowak,fairy,1.0
Marowak (Alolan),normal,0.391
Marowak (Alolan),fighting,0.391
Marowak (Alolan),flying,1.0
Marowak (Alolan),poison,0.625
Marowak (Alolan),ground,1.6
Marowak (Alolan),rock,1.6
Marowak (Alolan),bug,0.391
Marowak (Alolan),ghost,1.6
Marowak (Alolan),steel,0.625
Marowak (Alolan),fire,0.625
Marowak (Alolan),water,1.6
Marowak (Alolan),grass,0.625
Marowak (Alolan),electric,1.0
